2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#+0.324883,#load/mN#-0.004869 loadDisp_c5r5_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
0.000000	-0.324883	0.004869	0.0	0.0
0.158356	-0.306845	0.004869	0.018038	0.0
0.208735	0.724932	0.035085	1.049815	0.030216
0.262497	3.492710	0.067232	3.817593	0.062363
0.318531	8.226767	0.100092	8.55165	0.095223
0.378888	12.037415	0.135857	12.362298	0.130988
0.434339	14.402509	0.169003	14.727392	0.16413399999999997
0.492750	17.614770	0.203585	17.939653	0.19871599999999998
0.549202	20.824631	0.237909	21.149514	0.23304
0.605261	23.288353	0.271368	23.613236	0.266499
0.664637	25.497908	0.306825	25.822791	0.301956
0.721836	29.204197	0.341177	29.52908	0.336308
0.779699	32.908681	0.376174	33.233564	0.371305
0.832451	34.637115	0.409085	34.961998	0.40421599999999996
0.887521	37.559286	0.442099	37.884169	0.43723
0.941944	39.684028	0.474012	40.008911	0.469143
0.999928	41.650832	0.507998	41.975715	0.5031289999999999
1.065717	43.738919	0.547620	44.063802	0.542751
1.116954	45.111823	0.579821	45.436706	0.574952
1.169858	48.033925	0.611470	48.358808	0.606601
1.222347	50.883329	0.642749	51.208212	0.63788
1.280954	52.306799	0.676405	52.631682	0.671536
1.337995	53.395291	0.710945	53.720174	0.706076
1.395142	55.590057	0.745110	55.91494	0.740241
1.452838	57.913237	0.779338	58.23812	0.774469
1.510514	60.862025	0.813915	61.186908	0.809046
1.562381	61.442225	0.847031	61.767108	0.842162
1.617759	63.879577	0.879226	64.20446	0.8743569999999999
1.671154	66.098818	0.912439	66.423701	0.90757
1.727890	68.327922	0.944028	68.652805	0.939159
1.788537	70.929208	0.980407	71.254091	0.975538
1.844230	73.559860	1.015313	73.884743	1.010444
1.902935	75.617545	1.050078	75.942428	1.045209
1.959554	77.234490	1.083377	77.559373	1.078508
2.019301	78.391965	1.118587	78.716848	1.113718
2.078376	81.807657	1.154279	82.13254	1.14941
2.137961	83.873033	1.190127	84.197916	1.185258
2.196771	85.359124	1.225689	85.684007	1.22082
2.255809	88.657806	1.260666	88.982689	1.255797
2.313802	89.870852	1.296378	90.195735	1.291509
2.370339	92.451775	1.331284	92.776658	1.326415
2.425504	94.809840	1.363206	95.134723	1.358337
2.485021	96.758318	1.398556	97.083201	1.393687
2.537414	97.785434	1.432118	98.110317	1.427249
2.591548	99.532241	1.463955	99.857124	1.4590859999999999
2.650698	101.758484	1.498190	102.083367	1.493321
2.709789	103.462016	1.533902	103.786899	1.529033
2.767917	105.896902	1.568958	106.221785	1.564089
2.820833	107.818371	1.602011	108.143254	1.597142
2.872637	109.605213	1.633220	109.930096	1.6283509999999999
2.925318	111.477506	1.664549	111.802389	1.65968
2.980321	114.328862	1.696820	114.653745	1.691951
3.037834	115.438737	1.731082	115.76362	1.726213
3.094450	118.076965	1.765084	118.401848	1.760215
3.149329	120.759610	1.799010	121.084493	1.794141
3.205543	122.147677	1.831715	122.47256	1.826846
3.261915	124.281407	1.865652	124.60629	1.860783
3.318298	126.248351	1.899352	126.573234	1.894483
3.377272	128.235571	1.934438	128.560454	1.929569
3.435797	129.967493	1.969425	130.292376	1.964556
3.493667	131.471109	2.004335	131.795992	1.9994660000000002
3.552231	133.947694	2.039413	134.272577	2.0345440000000004
3.609023	136.482576	2.073752	136.807459	2.068883
3.667481	138.850657	2.108317	139.17554	2.103448
3.726447	141.044935	2.143849	141.369818	2.13898
3.784985	142.399413	2.178890	142.724296	2.174021
3.843746	145.518836	2.214375	145.843719	2.209506
3.901598	147.044474	2.249042	147.369357	2.2441730000000004
3.958761	149.194623	2.283383	149.519506	2.2785140000000004
4.014130	152.022976	2.317400	152.347859	2.3125310000000003
