2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.223184,#load/mN#-0.006667 loadDisp_c13r14_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	2.223184	0.006667	0.0	0.0
0.182022	2.713282	0.006668	1.0000000000001327e-06	0.49009800000000014
0.232153	4.842949	0.055303	0.048636	2.619765
0.283028	9.248837	0.107453	0.100786	7.025653
0.342101	13.164339	0.165031	0.158364	10.941155
0.401092	17.139594	0.222299	0.215632	14.916409999999999
0.458748	20.874479	0.280741	0.27407400000000004	18.651295
0.511433	24.163591	0.335349	0.32868200000000003	21.940407
0.566698	27.345725	0.389058	0.38239100000000004	25.122541000000002
0.627210	30.229224	0.448292	0.44162500000000005	28.00604
0.691349	34.000494	0.513368	0.5067010000000001	31.777310000000003
0.748564	36.519378	0.573241	0.566574	34.296194
0.800825	40.322179	0.625326	0.6186590000000001	38.098995
0.851831	43.844190	0.676206	0.669539	41.621005999999994
0.905681	46.436715	0.728920	0.722253	44.213531
0.964104	49.396003	0.785559	0.778892	47.172819000000004
1.021768	51.834981	0.843336	0.836669	49.611796999999996
1.079018	54.093652	0.901056	0.894389	51.870468
1.136402	56.500754	0.958164	0.951497	54.27757
1.195761	59.344025	1.016877	1.01021	57.120841
1.258875	62.556884	1.081964	1.075297	60.33369999999999
1.313777	65.353022	1.136486	1.1298190000000001	63.12983799999999
1.372130	68.294878	1.193508	1.186841	66.071694
1.430163	71.246708	1.251708	1.245041	69.023524
1.489019	73.685843	1.310499	1.303832	71.462659
1.547726	76.499196	1.369393	1.362726	74.276012
1.605347	79.674957	1.426894	1.4202270000000001	77.451773
1.664212	81.845399	1.485595	1.478928	79.622215
1.722783	84.480291	1.544070	1.537403	82.25710699999999
1.781368	86.940183	1.602641	1.595974	84.716999
1.840559	89.563220	1.661928	1.655261	87.340036
1.900072	91.695391	1.721523	1.714856	89.472207
1.957942	93.844199	1.779487	1.77282	91.621015
2.017099	96.470544	1.838490	1.831823	94.24736
2.074662	99.827480	1.896425	1.889758	97.60429599999999
2.133874	102.936261	1.955500	1.948833	100.713077
2.193053	105.676909	2.014183	2.007516	103.45372499999999
2.251559	107.542599	2.073052	2.066385	105.31941499999999
2.309117	109.445843	2.130767	2.1241	107.222659
2.366097	112.129155	2.188442	2.181775	109.905971
2.422767	114.335943	2.244619	2.237952	112.112759
2.482038	116.650679	2.303206	2.2965389999999997	114.427495
2.539557	118.783945	2.361208	2.3545409999999998	116.560761
2.597795	121.420172	2.419430	2.412763	119.19698799999999
2.658260	124.249996	2.479619	2.472952	122.02681199999999
2.717264	127.130441	2.538706	2.5320389999999997	124.907257
2.772064	129.220762	2.596363	2.589696	126.997578
2.824255	131.922738	2.648883	2.642216	129.699554
2.877212	134.763113	2.700719	2.6940519999999997	132.539929
2.935676	138.115071	2.757441	2.750774	135.891887
2.993943	142.335845	2.815653	2.808986	140.112661
3.051898	144.465625	2.873253	2.866586	142.24244099999999
3.110392	146.264415	2.931855	2.925188	144.041231
3.168850	148.919000	2.989808	2.983141	146.695816
3.228740	150.792551	3.049822	3.0431549999999996	148.569367
3.288590	152.752568	3.109503	3.102836	150.529384
3.347219	155.074572	3.168772	3.162105	152.851388
3.405663	158.039131	3.227429	3.2207619999999997	155.815947
3.464355	160.859479	3.285945	3.2792779999999997	158.636295
3.524432	162.778693	3.345620	3.3389529999999996	160.555509
3.582305	165.234493	3.403893	3.397226	163.01130899999998
3.640863	167.319071	3.462455	3.4557879999999996	165.095887
3.698223	169.131913	3.520716	3.514049	166.908729
3.755452	171.429428	3.577510	3.570843	169.206244
3.815189	173.260919	3.636511	3.629844	171.037735
3.874265	176.182524	3.695758	3.689091	173.95934
3.933864	178.575350	3.755079	3.7484119999999996	176.35216599999998
3.992746	180.035741	3.814228	3.8075609999999998	177.812557
4.050873	181.926843	3.872856	3.866189	179.703659
4.107753	184.379641	3.930013	3.923346	182.156457
4.161000	187.570692	3.984807	3.97814	185.347508
4.218944	190.272141	4.040754	4.0340869999999995	188.048957
4.275398	191.950869	4.099807	4.09314	189.727685
4.333161	193.641502	4.156160	4.149493	191.418318
4.392211	195.218115	4.213347	4.2066799999999995	192.994931
4.451521	197.715035	4.272709	4.266042	195.491851
4.510574	199.354786	4.332106	4.325438999999999	197.131602
4.570693	201.066592	4.391907	4.38524	198.843408
4.629432	203.007467	4.451137	4.44447	200.784283
4.688219	205.525301	4.509653	4.502986	203.302117
4.746213	208.547138	4.568285	4.561618	206.323954
4.797727	210.351979	4.622225	4.615558	208.128795
4.848934	212.583393	4.673336	4.666669	210.360209
4.904822	214.145570	4.727579	4.720912	211.922386
4.963902	216.731220	4.785550	4.7788829999999995	214.508036
5.025537	219.202911	4.848480	4.841813	216.979727
5.085596	221.444099	4.907174	4.900507	219.220915
5.148186	223.216613	4.968409	4.961742	220.993429
5.207225	226.444927	5.028916	5.0222489999999995	224.221743
5.266165	228.609178	5.087951	5.081284	226.385994
5.324747	229.809871	5.146367	5.1396999999999995	227.58668699999998
5.388602	232.606115	5.212104	5.205437	230.38293099999999
5.442633	234.428428	5.265989	5.259322	232.205244
5.501409	237.029499	5.323097	5.3164299999999995	234.80631499999998
5.560710	239.042314	5.382403	5.375736	236.81913
