3	header
addCalculation v2.0.2-826-g50b03e03	-l exp_depth/nm -f #depth/nm#-9.811052 exp_load_disp_250c_1.txt
addCalculation v2.0.2-826-g50b03e03	-l exp_load/mN -f #load/mN#-0.003717 exp_load_disp_250c_1.txt
depth/nm	load/mN	time/s	exp_depth/nm	exp_load/mN
9.811052	0.003717	60.227272	0.0	0.0
10.792138	0.025259	60.282424	0.981086	0.021542
12.028680	0.044077	60.328610	2.217628	0.04036
15.367198	0.065533	60.385860	5.556146	0.061816
19.521315	0.088413	60.442623	9.710263	0.084696
23.848966	0.111212	60.500782	14.037914	0.107495
27.457479	0.136295	60.561631	17.646427	0.132578
30.684130	0.158627	60.616909	20.873078	0.15491
34.386294	0.180192	60.671513	24.575242	0.176475
37.675173	0.202733	60.727708	27.864121	0.199016
42.063363	0.225012	60.783191	32.252311	0.221295
45.134082	0.246836	60.837195	35.32303	0.243119
49.041919	0.268988	60.892922	39.230867	0.265271
52.485082	0.290698	60.947319	42.67403	0.286981
55.682782	0.313014	61.003489	45.87173	0.309297
58.705154	0.335047	61.058211	48.894102	0.33133
60.827370	0.357391	61.113708	51.016318	0.353674
63.700872	0.378253	61.163886	53.88982	0.374536
66.686214	0.398301	61.215573	56.875162	0.394584
71.120202	0.422142	61.275952	61.30915	0.418425
74.197623	0.444387	61.332135	64.386571	0.44067
77.112959	0.467087	61.389564	67.301907	0.46337
79.166059	0.490291	61.448168	69.355007	0.486574
81.390380	0.512579	61.499958	71.579328	0.508862
84.448437	0.535050	61.557190	74.637385	0.531333
86.896302	0.556870	61.612814	77.08525	0.553153
89.478386	0.579567	61.670298	79.667334	0.57585
93.192165	0.602237	61.726831	83.381113	0.59852
95.952069	0.625018	61.784803	86.141017	0.621301
97.972966	0.647970	61.842361	88.161914	0.644253
101.358393	0.671372	61.901031	91.547341	0.667655
103.230499	0.694972	61.959437	93.419447	0.691255
104.655175	0.717797	62.015266	94.844123	0.71408
107.814626	0.739793	62.069312	98.003574	0.736076
111.392818	0.762122	62.126366	101.581766	0.758405
113.557950	0.784605	62.182473	103.746898	0.780888
116.096305	0.807066	62.237915	106.285253	0.803349
117.436520	0.828133	62.288680	107.625468	0.824416
119.717274	0.848121	62.338650	109.906222	0.844404
122.577025	0.868369	62.390366	112.765973	0.864652
125.397452	0.890147	62.445997	115.5864	0.88643
128.110010	0.912708	62.502964	118.298958	0.908991
131.052193	0.935292	62.559047	121.241141	0.931575
133.377537	0.957815	62.615065	123.566485	0.954098
135.395016	0.979382	62.668814	125.583964	0.975665
138.785819	1.002720	62.728427	128.974767	0.999003
141.491014	1.025897	62.787726	131.679962	1.02218
143.950692	1.050932	62.848152	134.13964	1.047215
147.681640	1.073180	62.904432	137.870588	1.069463
150.739139	1.095704	62.957810	140.928087	1.091987
153.741467	1.117094	63.012670	143.930415	1.113377
157.117995	1.139840	63.070419	147.306943	1.136123
159.591651	1.162274	63.126851	149.780599	1.158557
162.963768	1.184686	63.183133	153.152716	1.180969
166.052045	1.207369	63.239895	156.240993	1.203652
169.236363	1.229490	63.294941	159.425311	1.225773
171.449978	1.252180	63.351212	161.638926	1.248463
174.152439	1.274684	63.407540	164.341387	1.270967
176.265491	1.296961	63.463283	166.454439	1.293244
179.559984	1.319868	63.520260	169.748932	1.316151
182.241786	1.342180	63.576281	172.430734	1.338463
185.580250	1.365050	63.633886	175.769198	1.361333
188.531899	1.387634	63.689808	178.720847	1.383917
191.350576	1.409638	63.744990	181.539524	1.405921
193.414808	1.432352	63.801936	183.603756	1.428635
194.859109	1.454711	63.857999	185.048057	1.450994
197.011200	1.477300	63.914029	187.200148	1.473583
199.724781	1.499568	63.969682	189.913729	1.495851
202.590981	1.521842	64.025179	192.779929	1.518125
205.306617	1.544137	64.080866	195.495565	1.54042
208.268177	1.566608	64.137368	198.457125	1.562891
211.576293	1.588999	64.192992	201.765241	1.585282


