2	header
addCalculation v2.0.3-130-gda034f97	-l exp_depth/nm,exp_load/mN -f #depth/nm#-0.784214,#load/mN#-0.004598 loadDisp_c2r5_250c.txt
depth/nm	load/mN	time/s	exp_depth/nm	exp_load/mN
0.784214	0.004598	60.172031	0.0	0.0
1.962821	0.025999	60.226523	1.178607	0.021401000000000003
2.519730	0.045206	60.275403	1.735516	0.040608000000000005
5.519743	0.067847	60.332472	4.735529	0.063249
8.528824	0.090625	60.389495	7.74461	0.08602699999999999
9.732708	0.115379	60.451073	8.948494	0.11078099999999999
11.356019	0.137478	60.506579	10.571805	0.13288
14.602917	0.159454	60.560988	13.818703	0.15485600000000002
18.015253	0.181442	60.615719	17.231039000000003	0.176844
20.593670	0.203486	60.671059	19.809456	0.198888
22.831899	0.225430	60.725809	22.047685	0.220832
25.677056	0.247669	60.782354	24.892842	0.243071
26.595887	0.270223	60.838181	25.811673000000003	0.265625
28.695748	0.292614	60.894275	27.911534	0.288016
30.951339	0.314989	60.950538	30.167125000000002	0.31039100000000003
33.506015	0.337654	61.006878	32.721801	0.333056
35.828781	0.358740	61.056999	35.044567	0.354142
37.635949	0.378808	61.106874	36.851735	0.37421
40.185140	0.399107	61.157821	39.400926	0.394509
43.042421	0.420357	61.211490	42.258207	0.415759
46.482473	0.441924	61.267537	45.698259	0.437326
48.700305	0.464597	61.324465	47.916091	0.459999
50.779374	0.487102	61.380230	49.99516	0.482504
52.514338	0.509548	61.436195	51.730124	0.50495
54.986052	0.533417	61.495805	54.201838	0.528819
57.186426	0.556040	61.552723	56.402212	0.551442
59.314915	0.578282	61.608482	58.530701	0.573684
62.557489	0.600786	61.664452	61.773275	0.596188
64.972532	0.622721	61.719376	64.188318	0.618123
66.674565	0.644622	61.773450	65.890351	0.640024
69.069642	0.665713	61.824209	68.285428	0.661115
72.549331	0.685849	61.875490	71.76511699999999	0.681251
74.928438	0.708082	61.932890	74.144224	0.703484
76.880232	0.730953	61.990154	76.096018	0.726355
80.006890	0.754058	62.048359	79.22267599999999	0.74946
82.918456	0.777935	62.107954	82.134242	0.773337
85.464701	0.800954	62.164929	84.680487	0.7963560000000001
87.982495	0.823637	62.219746	87.198281	0.819039
91.578782	0.844764	62.274641	90.794568	0.840166
94.963734	0.867251	62.332307	94.17952	0.862653
96.984930	0.890381	62.389260	96.200716	0.885783
100.141737	0.913004	62.446513	99.357523	0.908406
103.476573	0.935856	62.503928	102.692359	0.931258
106.576445	0.958969	62.562188	105.792231	0.954371
108.741079	0.982550	62.621218	107.956865	0.977952
111.303905	1.005804	62.678848	110.519691	1.0012059999999998
114.212934	1.028986	62.737006	113.42872	1.0243879999999999
117.068580	1.054046	62.798536	116.28436599999999	1.049448
119.802680	1.076950	62.856606	119.01846599999999	1.072352
122.843710	1.100231	62.914843	122.059496	1.0956329999999999
125.315601	1.123506	62.972901	124.531387	1.1189079999999998
127.555600	1.146748	63.031304	126.77138599999999	1.14215
129.408278	1.170182	63.089048	128.624064	1.165584
132.112247	1.192629	63.145174	131.328033	1.1880309999999998
135.005309	1.215510	63.203439	134.22109500000002	1.210912
136.455736	1.238912	63.261573	135.671522	1.234314
138.354776	1.261853	63.319071	137.570562	1.2572549999999998
139.959612	1.285242	63.377708	139.175398	1.280644
141.486235	1.308334	63.433301	140.702021	1.303736
144.081164	1.330460	63.489280	143.29695	1.3258619999999999
148.150890	1.352503	63.543718	147.366676	1.347905
151.178543	1.375084	63.600126	150.394329	1.3704859999999999
153.867767	1.397334	63.655966	153.083553	1.392736
155.802306	1.419668	63.712133	155.018092	1.4150699999999998
157.270636	1.442388	63.766045	156.486422	1.43779
159.636543	1.462848	63.817072	158.852329	1.4582499999999998
161.697409	1.482960	63.867276	160.913195	1.478362
163.390026	1.503190	63.918985	162.60581200000001	1.498592
164.147832	1.525437	63.976778	163.363618	1.5208389999999998
167.517526	1.548316	64.034927	166.733312	1.543718
170.112733	1.571937	64.093205	169.328519	1.5673389999999998
172.185889	1.594348	64.146127	171.401675	1.58975
174.618287	1.615682	64.201270	173.83407300000002	1.611084
176.373338	1.638408	64.258928	175.589124	1.63381
178.820117	1.660814	64.314483	178.03590300000002	1.656216
180.524122	1.683258	64.371114	179.739908	1.6786599999999998
184.060417	1.705748	64.428279	183.276203	1.70115
187.912804	1.728511	64.484608	187.12859	1.7239129999999998
189.940668	1.750970	64.541841	189.156454	1.7463719999999998
191.325775	1.774276	64.600279	190.541561	1.7696779999999999
193.607140	1.797242	64.656367	192.822926	1.792644
196.457676	1.819818	64.712253	195.673462	1.8152199999999998
198.278326	1.842350	64.768720	197.494112	1.8377519999999998
199.694480	1.865326	64.826049	198.910266	1.860728
200.969704	1.887720	64.881848	200.18549000000002	1.883122
202.534801	1.910372	64.938532	201.750587	1.9057739999999999
