2	header
addCalculation v2.0.2-826-g50b03e03	-l exp_depth/nm,exp_load/mN -f #depth/nm#-11.135145,#load/mN#-0.003723 exp_load_disp_250c_1.txt
depth/nm	load/mN	time/s	exp_depth/nm	exp_load/mN
11.135145	0.003723	60.203743	0.0	0.0
14.408085	0.024432	60.255706	3.27294	0.020709
18.822295	0.042793	60.302585	7.68715	0.03907
23.645794	0.064199	60.356765	12.510649	0.060476
28.331865	0.085263	60.407575	17.19672	0.08154
33.003709	0.105415	60.459632	21.868564	0.101692
36.501362	0.129204	60.520313	25.366217	0.125481
41.068019	0.151775	60.577054	29.932874	0.148052
46.170708	0.174330	60.634783	35.035563	0.170607
50.354416	0.197500	60.692553	39.219271	0.193777
53.550949	0.220623	60.751468	42.415804	0.2169
58.441913	0.243785	60.808994	47.306768	0.240062
62.600181	0.267104	60.865643	51.465036	0.263381
67.670656	0.290433	60.925840	56.535511	0.28671
70.038766	0.313740	60.979491	58.903621	0.310017
72.802106	0.335142	61.034529	61.666961	0.331419
76.048358	0.357083	61.090247	64.913213	0.35336
78.965786	0.379414	61.143804	67.830641	0.375691
80.567699	0.400275	61.195544	69.432554	0.396552
83.448083	0.421203	61.248068	72.312938	0.41748
85.439528	0.441950	61.301589	74.304383	0.438227
86.911008	0.464207	61.357531	75.775863	0.460484
88.590300	0.485387	61.408798	77.455155	0.481664
91.717781	0.507169	61.465262	80.582636	0.503446
95.990742	0.531079	61.525632	84.855597	0.527356
100.052258	0.553632	61.581499	88.917113	0.549909
103.240731	0.575841	61.634497	92.105586	0.572118
105.095836	0.596644	61.688081	93.960691	0.592921
107.146117	0.618608	61.744082	96.010972	0.614885
111.724451	0.641398	61.801072	100.589306	0.637675
115.272330	0.663900	61.857999	104.137185	0.660177
119.635758	0.686500	61.914948	108.500613	0.682777
125.506307	0.709475	61.971690	114.371162	0.705752
130.012048	0.733019	62.031724	118.876903	0.729296
138.587728	0.757007	62.090722	127.452583	0.753284
142.711497	0.779597	62.147550	131.576352	0.775874
146.405034	0.803139	62.207100	135.269889	0.799416
149.256164	0.826211	62.263949	138.121019	0.822488
153.066294	0.849512	62.323212	141.931149	0.845789
156.701678	0.871422	62.373671	145.566533	0.867699
160.764778	0.891486	62.424891	149.629633	0.887763
162.837574	0.912412	62.476723	151.702429	0.908689
166.075582	0.934265	62.530391	154.940437	0.930542
169.725003	0.954972	62.583920	158.589858	0.951249
172.641367	0.977001	62.639954	161.506222	0.973278
175.943471	0.999549	62.696305	164.808326	0.995826
179.276459	1.021037	62.747199	168.141314	1.017314
188.489301	1.042128	62.801177	177.354156	1.038405
196.599438	1.063902	62.857514	185.464293	1.060179
198.354679	1.086548	62.913817	187.219534	1.082825
199.250529	1.109080	62.970116	188.115384	1.105357
200.115086	1.131627	63.026529	188.979941	1.127904
200.816251	1.154025	63.082527	189.681106	1.150302
202.296408	1.176504	63.139306	191.161263	1.172781
202.843885	1.198958	63.195281	191.70874	1.195235
202.968022	1.221144	63.249030	191.832877	1.217421
204.047061	1.243932	63.307513	192.911916	1.240209
205.086351	1.267083	63.365270	193.951206	1.26336
207.277507	1.289667	63.422030	196.142362	1.285944
208.886591	1.312117	63.477992	197.751446	1.308394
210.571436	1.334611	63.533961	199.436291	1.330888
215.006265	1.357492	63.593116	203.87112	1.353769

