2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.739215,#load/mN#-0.003381 loadDisp_c15r13_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	2.739215	0.003381	0.0	0.0
0.148585	2.857534	0.003382	1.0000000000001327e-06	0.11831899999999962
0.204921	5.269936	0.058077	0.054695999999999995	2.530721
0.251203	8.129096	0.105732	0.10235100000000001	5.389881000000001
0.309312	11.423792	0.163143	0.15976200000000002	8.684577
0.361447	13.907807	0.215086	0.211705	11.168592
0.419374	16.104660	0.270182	0.26680099999999995	13.365445
0.478389	18.464075	0.328977	0.325596	15.724860000000001
0.536637	21.232969	0.387556	0.384175	18.493754
0.594979	25.012413	0.445707	0.442326	22.273197999999997
0.657997	27.239781	0.511673	0.5082920000000001	24.500566
0.712566	29.600699	0.567153	0.563772	26.861483999999997
0.763995	32.099573	0.618258	0.614877	29.360357999999998
0.819751	33.502634	0.672472	0.669091	30.763419
0.878854	35.902866	0.730504	0.7271230000000001	33.163651
0.938597	37.909748	0.790158	0.7867770000000001	35.170533
0.998480	39.530698	0.849812	0.846431	36.791483
1.059695	41.546596	0.910921	0.90754	38.807381
1.112089	43.211567	0.966183	0.962802	40.472352
1.166403	45.307860	1.020694	1.017313	42.568645
1.224547	47.929529	1.077326	1.073945	45.190314
1.284924	49.225420	1.136218	1.1328369999999999	46.486205
1.343832	51.000814	1.195730	1.1923489999999999	48.261599
1.401415	52.922227	1.253238	1.249857	50.183012
1.460141	54.891511	1.311054	1.3076729999999999	52.152296
1.519723	56.701889	1.370969	1.367588	53.962674
1.580953	58.927450	1.432550	1.429169	56.188235
1.642813	61.207535	1.492036	1.4886549999999998	58.46832
1.701970	62.739840	1.553379	1.549998	60.000625
1.761329	65.336202	1.612549	1.609168	62.596987
1.819712	67.527615	1.671222	1.667841	64.7884
1.878165	68.572597	1.729597	1.726216	65.833382
1.937536	70.751704	1.788918	1.785537	68.012489
1.995808	71.691272	1.847033	1.8436519999999998	68.952057
2.055156	72.974013	1.906616	1.903235	70.234798
2.113923	75.653478	1.965467	1.962086	72.914263
2.172893	77.314386	2.024387	2.021006	74.575171
2.231416	79.547752	2.082778	2.0793969999999997	76.808537
2.290849	81.297720	2.141928	2.138547	78.558505
2.349409	82.724050	2.200627	2.197246	79.984835
2.407924	84.374031	2.259873	2.2564919999999997	81.634816
2.465141	86.034574	2.317101	2.31372	83.295359
2.523225	87.839217	2.374912	2.371531	85.100002
