2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-0.913251,#load/mN#-0.003974 loadDisp_c4r3_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
0.000000	0.913251	0.003974	0.0	0.0
0.134951	1.660380	0.003974	0.7471289999999999	0.0
0.184195	3.192185	0.033415	2.2789339999999996	0.029441000000000002
0.243306	7.495732	0.068467	6.5824810000000005	0.064493
0.308059	10.493793	0.106231	9.580542	0.102257
0.373047	13.357384	0.144733	12.444132999999999	0.140759
0.430967	17.951469	0.179535	17.038218	0.175561
0.488801	20.629578	0.214432	19.716327	0.210458
0.547955	23.657790	0.249558	22.744539	0.245584
0.606645	26.926596	0.284990	26.013345	0.28101600000000004
0.664302	29.434628	0.319657	28.521377	0.31568300000000005
0.721634	32.066031	0.354269	31.152780000000003	0.350295
0.778884	34.093087	0.388520	33.179835999999995	0.384546
0.836622	38.315939	0.423163	37.402688	0.41918900000000003
0.900737	40.788007	0.461796	39.874756	0.457822
0.957112	42.915615	0.495958	42.002364	0.49198400000000003
1.013426	45.876002	0.529501	44.962751	0.525527
1.071042	47.759279	0.565675	46.846028	0.561701
1.121446	49.822121	0.595957	48.90887	0.5919829999999999
1.173137	52.276407	0.626900	51.363156	0.622926
1.224482	53.786313	0.657401	52.873062	0.653427
1.280417	56.221303	0.689249	55.308051999999996	0.685275
1.341112	57.877552	0.724913	56.964301	0.720939
1.399524	59.795369	0.760625	58.882118	0.756651
1.457923	62.451431	0.795912	61.53818	0.7919379999999999
1.516825	64.002343	0.830845	63.089091999999994	0.8268709999999999
1.573777	66.110963	0.866235	65.197712	0.8622609999999999
1.627862	68.571432	0.898208	67.658181	0.894234
1.681322	71.586566	0.930833	70.673315	0.926859
1.740966	74.525753	0.965665	73.61250199999999	0.961691
1.800505	76.471290	1.001314	75.558039	0.99734
1.859382	79.137046	1.036751	78.223795	1.032777
1.923369	80.397491	1.075408	79.48424	1.071434
1.981221	82.541088	1.109276	81.627837	1.105302
2.040656	85.328336	1.144939	84.41508499999999	1.140965
2.099011	88.117755	1.180424	87.204504	1.17645
2.158698	91.134226	1.216367	90.220975	1.212393
2.218527	92.157823	1.252385	91.24457199999999	1.2484110000000002
2.276671	94.000638	1.287318	93.08738699999999	1.283344
2.334846	97.070694	1.322309	96.157443	1.318335
2.392713	99.274174	1.356791	98.360923	1.3528170000000002
2.450877	101.706064	1.391563	100.792813	1.3875890000000002
