2	header
addCalculation v2.0.2-826-g50b03e03	-l exp_depth/nm,exp_load/mN -f #depth/nm#-16.771211,#load/mN#-0.006380 loadDisp_c2r3_250c.txt
depth/nm	load/mN	time/s	exp_depth/nm	exp_load/mN
16.771211	0.006380	60.190183	0.0	0.0
18.097766	0.027614	60.243041	1.326555	0.021234
19.674974	0.046471	60.291799	2.903763	0.040091
22.154047	0.068875	60.348283	5.382836	0.062495
26.469586	0.091378	60.404906	9.698375	0.084998
29.717352	0.113849	60.461100	12.946141	0.107469
32.645447	0.137926	60.520677	15.874236	0.131546
35.808096	0.159300	60.573555	19.036885	0.15292
37.521915	0.181211	60.629720	20.750704	0.174831
40.333805	0.204027	60.687219	23.562594	0.197647
44.392054	0.226685	60.744552	27.620843	0.220305
46.817195	0.249571	60.800248	30.045984	0.243191
50.050119	0.271537	60.855388	33.278908	0.265157
53.065354	0.293812	60.910419	36.294143	0.287432
55.147354	0.315167	60.962143	38.376143	0.308787
60.002478	0.335912	61.015844	43.231267	0.329532
63.416161	0.357925	61.070841	46.64495	0.351545
65.237094	0.379508	61.122653	48.465883	0.373128
68.677062	0.400257	61.174275	51.905851	0.393877
72.727299	0.421254	61.227170	55.956088	0.414874
76.072581	0.441886	61.280530	59.30137	0.435506
79.022575	0.463955	61.336152	62.251364	0.457575
82.705688	0.486138	61.392054	65.934477	0.479758
84.676532	0.508427	61.447330	67.905321	0.502047
87.514834	0.532190	61.506539	70.743623	0.52581
89.934836	0.553921	61.559120	73.163625	0.547541
92.714007	0.574594	61.612371	75.942796	0.568214
95.823336	0.596611	61.668348	79.052125	0.590231
97.014775	0.619416	61.724387	80.243564	0.613036
99.312317	0.641413	61.780178	82.541106	0.635033
102.410406	0.663747	61.835532	85.639195	0.657367
106.013298	0.685860	61.891120	89.242087	0.67948
108.950165	0.707989	61.946216	92.178954	0.701609
111.642688	0.730228	62.001820	94.871477	0.723848
115.073906	0.752073	62.054663	98.302695	0.745693
118.376311	0.773128	62.108936	101.6051	0.766748
121.243309	0.795399	62.164938	104.472098	0.789019
123.966941	0.817798	62.221178	107.19573	0.811418
126.451991	0.840515	62.277646	109.68078	0.834135
128.011095	0.862869	62.333697	111.239884	0.856489
130.303062	0.885263	62.390376	113.531851	0.878883
132.532543	0.907789	62.446290	115.761332	0.901409
136.018333	0.930212	62.502211	119.247122	0.923832
138.368860	0.952721	62.558246	121.597649	0.946341
140.689429	0.974559	62.612065	123.918218	0.968179
142.457682	0.996930	62.668557	125.686471	0.99055
144.139735	1.019111	62.724516	127.368524	1.012731
146.998047	1.043507	62.785100	130.226836	1.037127
151.419359	1.065789	62.841097	134.648148	1.059409
156.084760	1.088153	62.896616	139.313549	1.081773
160.000780	1.110012	62.951390	143.229569	1.103632
163.302235	1.132489	63.007793	146.531024	1.126109
166.449247	1.154622	63.062569	149.678036	1.148242
168.291943	1.175651	63.112896	151.520732	1.169271
169.036169	1.195707	63.163146	152.264958	1.189327
171.945283	1.215794	63.213736	155.174072	1.209414
174.555862	1.237478	63.270054	157.784651	1.231098
176.891865	1.259829	63.324075	160.120654	1.253449
179.332770	1.280638	63.377262	162.561559	1.274258
182.584286	1.303073	63.434099	165.813075	1.296693
183.950984	1.325592	63.490590	167.179773	1.319212
186.016650	1.347805	63.545996	169.245439	1.341425
187.053599	1.370113	63.599402	170.282388	1.363733
188.889906	1.390617	63.653424	172.118695	1.384237
190.636669	1.413167	63.709658	173.865458	1.406787
192.886902	1.435874	63.766225	176.115691	1.429494
194.398792	1.458080	63.821661	177.627581	1.4517
195.839764	1.480515	63.877825	179.068553	1.474135
197.420342	1.502909	63.933775	180.649131	1.496529
200.694220	1.525746	63.990799	183.923009	1.519366
202.735588	1.547966	64.046730	185.964377	1.541586
204.108198	1.570192	64.101829	187.336987	1.563812
206.484685	1.592478	64.157713	189.713474	1.586098
209.227649	1.615091	64.214022	192.456438	1.608711
210.762157	1.637369	64.269976	193.990946	1.630989
212.687493	1.660157	64.326606	195.916282	1.653777
214.808428	1.682395	64.382172	198.037217	1.676015
217.600548	1.704601	64.437399	200.829337	1.698221
