3	header
addCalculation v2.0.2-826-g50b03e03	-l exp_depth/nm -f #depth/nm#-3.962896 exp_load_disp_250c_1.txt
addCalculation v2.0.2-826-g50b03e03	-l exp_depth/nm,exp_load/mN -f #depth/nm#-3.962896,#load/mN#-0.006490 exp_load_disp_250c_1.txt
depth/nm	load/mN	time/s	exp_depth/nm	exp_load/mN
3.962896	0.006490	0.000000	0.0	0.0
9.561921	0.006491	60.189027	5.599025	1e-06
9.960981	0.028081	60.243384	5.998085	0.021591
27.600117	0.046398	60.289387	23.637221	0.039908
32.529568	0.067125	60.342913	28.566672	0.060635
34.537457	0.089094	60.398801	30.574561	0.082604
36.787742	0.111650	60.454212	32.824846	0.10516
40.139546	0.133526	60.507003	36.17665	0.127036
44.310045	0.154488	60.560267	40.347149	0.147998
47.170306	0.176199	60.616012	43.20741	0.169709
49.624072	0.198845	60.672827	45.661176	0.192355
51.902363	0.221606	60.730621	47.939467	0.215116
56.161350	0.244446	60.788450	52.198454	0.237956
59.158235	0.267614	60.846097	55.195339	0.261124
61.159064	0.290788	60.903761	57.196168	0.284298
64.909682	0.313650	60.960746	60.946786	0.30716
68.760676	0.336277	61.018616	64.79778	0.329787
71.085792	0.359622	61.076001	67.122896	0.353132
73.099960	0.381386	61.126258	69.137064	0.374896
74.995446	0.401598	61.177251	71.03255	0.395108
78.265979	0.423209	61.232637	74.303083	0.416719
80.676313	0.445117	61.289135	76.713417	0.438627
84.401879	0.467611	61.344781	80.438983	0.461121
86.539236	0.490174	61.400837	82.57634	0.483684
87.818797	0.512290	61.455970	83.855901	0.5058
90.357727	0.535754	61.514768	86.394831	0.529264
92.575372	0.557746	61.570063	88.612476	0.551256
95.438137	0.580788	61.627916	91.475241	0.574298
98.769386	0.603217	61.683668	94.80649	0.596727
101.799789	0.624890	61.737381	97.836893	0.6184
102.616781	0.647463	61.794733	98.653885	0.640973
104.966477	0.669882	61.850599	101.003581	0.663392
107.174193	0.692238	61.907887	103.211297	0.685748
108.809239	0.715532	61.965217	104.846343	0.709042
111.455258	0.736970	62.015770	107.492362	0.73048
113.296559	0.757696	62.068956	109.333663	0.751206
115.330372	0.779992	62.127475	111.367476	0.773502
117.758520	0.803575	62.186183	113.795624	0.797085
119.465976	0.826755	62.243426	115.50308	0.820265
123.361052	0.849877	62.301362	119.398156	0.843387
126.533482	0.872696	62.357651	122.570586	0.866206
127.982334	0.893935	62.408234	124.019438	0.887445
130.898254	0.915040	62.460558	126.935358	0.90855
134.589110	0.935236	62.511314	130.626214	0.928746
136.903159	0.955608	62.562760	132.940263	0.949118
138.951592	0.977455	62.617016	134.988696	0.970965
141.389853	0.998190	62.670239	137.426957	0.9917
145.891842	1.020217	62.726802	141.928946	1.013727
148.046290	1.044732	62.787802	144.083394	1.038242
150.928889	1.067199	62.843852	146.965993	1.060709
153.445530	1.089661	62.900432	149.482634	1.083171
155.692341	1.111947	62.956329	151.729445	1.105457
158.594332	1.134572	63.013822	154.631436	1.128082
161.073323	1.157835	63.068113	157.110427	1.151345
163.536031	1.179653	63.123996	159.573135	1.173163
166.797986	1.201629	63.179801	162.83509	1.195139
169.686942	1.224058	63.236089	165.724046	1.217568
172.084455	1.247054	63.293450	168.121559	1.240564
174.865651	1.270004	63.351456	170.902755	1.263514
178.847349	1.293004	63.409092	174.884453	1.286514
181.755522	1.315810	63.466882	177.792626	1.30932
184.348676	1.339052	63.524575	180.38578	1.332562
187.400618	1.361851	63.582128	183.437722	1.355361
190.976299	1.384604	63.639079	187.013403	1.378114
194.092178	1.407791	63.697455	190.129282	1.401301
197.100641	1.431057	63.755065	193.137745	1.424567
199.727111	1.454516	63.814890	195.764215	1.448026
202.103214	1.478174	63.871773	198.140318	1.471684
204.807849	1.500798	63.930120	200.844953	1.494308
