3	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-22.047993,#load/mN#-0.004912 loadDisp_c4r6_rt.txt
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-21.833321,#load/mN#-0.004913 loadDisp_c4r6_rt.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
0.147057	21.833321	0.004913	0.0	0.0
0.200922	24.620754	0.058925	2.787433	0.054012
0.248010	27.491763	0.105273	5.658441999999997	0.10036
0.308171	30.633085	0.163797	8.799764	0.158884
0.365504	34.236929	0.220572	12.403608000000002	0.215659
0.423729	35.691946	0.278429	13.858625	0.273516
0.482780	39.694876	0.337624	17.861555	0.332711
0.540382	42.858127	0.395194	21.024806	0.390281
0.598643	45.865964	0.453505	24.032642999999997	0.448592
0.661341	48.805169	0.517258	26.971847999999998	0.512345
0.723103	50.650282	0.578423	28.816960999999996	0.5735100000000001
0.781282	53.429108	0.635932	31.595786999999998	0.6310190000000001
0.836258	55.531380	0.693503	33.698059	0.68859
0.892890	58.004548	0.747611	36.171227	0.7426980000000001
0.951948	59.103010	0.806359	37.269689	0.8014460000000001
1.009079	60.664128	0.863850	38.83080699999999	0.8589370000000001
1.067469	62.858048	0.922521	41.024727	0.9176080000000001
1.118531	64.951368	0.976524	43.118047000000004	0.971611
1.173437	67.542993	1.028477	45.709672	1.0235640000000001
1.232859	69.831770	1.088302	47.99844900000001	1.0833890000000002
1.291101	70.308586	1.145383	48.47526500000001	1.14047
1.349538	72.562795	1.204198	50.729473999999996	1.1992850000000002
1.408065	74.507953	1.262257	52.674632	1.257344
1.467003	76.610695	1.321258	54.77737400000001	1.316345
1.525544	79.073955	1.379705	57.240634	1.374792
1.583506	80.292180	1.438664	58.458859000000004	1.433751
1.635543	82.358269	1.493293	60.52494800000001	1.48838
1.689327	83.769168	1.546201	61.935846999999995	1.541288
1.747744	85.027586	1.602150	63.194265	1.597237
1.806785	87.139914	1.660759	65.306593	1.6558460000000002
1.871191	89.695928	1.723761	67.862607	1.7188480000000002
1.931576	92.588369	1.785988	70.755048	1.781075
1.989470	93.561043	1.843644	71.727722	1.8387310000000001
2.048150	95.939666	1.902440	74.106345	1.897527
2.107596	97.745038	1.961602	75.911717	1.9566890000000001
2.166193	99.843521	2.020762	78.0102	2.015849
2.224593	102.144451	2.079122	80.31113	2.0742089999999997
2.284232	102.868448	2.138313	81.035127	2.1334
2.343405	104.869290	2.197976	83.03596900000001	2.193063
2.401685	107.087008	2.256242	85.253687	2.2513289999999997
2.460057	108.014501	2.314681	86.18118	2.309768
2.518617	109.240527	2.373150	87.407206	2.3682369999999997
2.576673	110.607995	2.431428	88.774674	2.4265149999999998
2.636391	111.975902	2.490785	90.142581	2.4858719999999996
2.694758	112.622372	2.549193	90.789051	2.5442799999999997
2.753889	114.723303	2.608416	92.889982	2.603503
2.811597	115.794192	2.666222	93.960871	2.6613089999999997
2.870443	116.520800	2.724910	94.687479	2.7199969999999998
2.929364	119.153327	2.783805	97.320006	2.778892
2.983209	120.109867	2.840431	98.276546	2.835518
3.038686	121.813189	2.894248	99.979868	2.889335
3.096758	124.327567	2.951635	102.494246	2.946722
3.155855	125.662912	3.009971	103.82959100000001	3.005058
3.214677	126.731994	3.069505	104.898673	3.0645919999999998
3.272854	128.541690	3.127526	106.70836899999999	3.122613
3.332159	129.882268	3.186485	108.04894700000001	3.1815719999999996
3.392526	131.348801	3.247187	109.51548000000001	3.2422739999999997
3.450748	133.537564	3.305459	111.704243	3.3005459999999998
3.509449	135.546424	3.364109	113.713103	3.359196
3.566511	136.140511	3.422043	114.30719	3.41713
3.618800	137.968256	3.476406	116.134935	3.4714929999999997
3.669819	138.956678	3.527588	117.12335700000001	3.522675
3.724720	140.017502	3.580878	118.18418100000001	3.5759649999999996
3.779639	142.607848	3.636875	120.77452699999999	3.6319619999999997
3.835492	144.386908	3.690509	122.55358700000001	3.685596
3.895729	146.198660	3.749719	124.36533899999999	3.7448059999999996
3.952229	148.085202	3.808361	126.25188100000001	3.803448
4.006277	148.835152	3.862420	127.001831	3.857507
4.061969	149.807009	3.919464	127.973688	3.914551
4.114477	150.875163	3.971453	129.04184199999997	3.9665399999999997
4.169644	152.243703	4.025177	130.410382	4.020264
4.224429	153.457116	4.081897	131.623795	4.0769839999999995
4.277418	154.707711	4.134061	132.87438999999998	4.129148
4.342205	156.945990	4.197163	135.11266899999998	4.19225
4.400362	158.463167	4.255218	136.629846	4.250305
4.458889	159.789591	4.313819	137.95627	4.3089059999999995
4.517802	161.227124	4.372613	139.393803	4.3677
4.575568	162.056562	4.430329	140.223241	4.425416
4.634058	164.057815	4.488711	142.224494	4.483798
4.693509	164.931634	4.547779	143.098313	4.542866
4.752887	167.101471	4.607520	145.26815	4.602607
4.812263	168.271950	4.666775	146.438629	4.661862
4.871860	169.736190	4.726509	147.90286899999998	4.721596
4.931678	171.788773	4.786115	149.95545199999998	4.7812019999999995
4.990797	172.465036	4.845451	150.63171499999999	4.840538
5.049635	173.801701	4.904181	151.96838	4.899268
5.108499	175.118546	4.963532	153.285225	4.958619
5.161098	176.751908	5.018232	154.91858699999997	5.013319
5.219173	178.669769	5.074229	156.836448	5.069316
5.278319	179.835438	5.132612	158.002117	5.127699
5.341479	181.642127	5.197559	159.80880599999998	5.192646
5.397992	182.596866	5.253398	160.763545	5.248485
5.457693	184.207761	5.311991	162.37444	5.307078
5.516838	185.882079	5.371721	164.048758	5.366808
5.575252	187.818954	5.430868	165.98563299999998	5.425955
5.626933	189.566539	5.484951	167.733218	5.4800379999999995
5.678552	191.027386	5.536581	169.194065	5.531668
5.731042	192.582783	5.588665	170.749462	5.583752
5.784315	194.186624	5.641037	172.35330299999998	5.636124
5.844977	197.030507	5.698732	175.197186	5.6938189999999995
5.903939	198.478808	5.758499	176.64548699999997	5.753585999999999
5.963493	199.716884	5.818176	177.88356299999998	5.813263
6.021574	201.861277	5.876406	180.027956	5.871493
6.081448	203.251379	5.935636	181.41805799999997	5.9307229999999995
6.139978	204.622771	5.994637	182.78945	5.989724
6.197418	206.042885	6.052507	184.209564	6.047594
6.254505	207.394887	6.109508	185.561566	6.104595
6.313615	208.896996	6.168340	187.063675	6.1634269999999995
6.372677	210.586046	6.227092	188.752725	6.222179
6.432498	211.834024	6.287260	190.000703	6.282347
6.490811	213.084451	6.345408	191.25113	6.340495
6.549847	214.538039	6.404550	192.70471799999999	6.399637
6.607852	215.806519	6.462644	193.973198	6.457731
6.664712	217.763641	6.522325	195.93032	6.517412
6.721312	219.006550	6.576938	197.173229	6.572025
6.779768	220.578405	6.634741	198.745084	6.629828
6.837985	222.609333	6.692979	200.77601199999998	6.688066
6.896252	223.778440	6.751050	201.94511899999998	6.746137
6.956763	225.881784	6.811097	204.048463	6.806184
7.016250	227.068467	6.870634	205.235146	6.865721
7.075804	227.826175	6.930283	205.992854	6.92537
7.135441	229.208907	6.990338	207.375586	6.985425
7.192551	230.402037	7.047595	208.568716	7.042682
7.251235	232.231391	7.106008	210.39807	7.101095
7.310584	233.619619	7.165221	211.786298	7.160308
7.370842	236.159028	7.225676	214.325707	7.220763
7.430352	236.453873	7.285002	214.62055199999998	7.280089
7.490293	238.009335	7.345066	216.17601399999998	7.340153
7.548873	239.621099	7.404044	217.78777799999997	7.399131
7.656009	241.752121	7.513922	219.91879999999998	7.509009
7.708586	243.632977	7.565451	221.799656	7.560538
7.827090	246.200388	7.681749	224.367067	7.676836
7.884936	247.418664	7.740130	225.585343	7.735217
7.944158	248.495835	7.798792	226.662514	7.793879
8.002461	249.670844	7.857467	227.83752299999998	7.852554
8.061103	251.046902	7.915864	229.21358099999998	7.910951
8.121376	251.626621	7.975469	229.7933	7.970556
8.180919	253.088604	8.035510	231.255283	8.030597
8.240199	255.390188	8.094533	233.55686699999998	8.08962
8.299615	256.415620	8.154659	234.58229899999998	8.149746
8.352287	258.701572	8.209185	236.868251	8.204272
8.408231	259.753807	8.263884	237.92048599999998	8.258970999999999
8.465896	260.817985	8.321042	238.984664	8.316129
8.524992	263.794111	8.379823	241.96078999999997	8.37491
8.584508	265.215075	8.439182	243.381754	8.434269
8.644873	266.512365	8.499375	244.67904399999998	8.494462
8.704495	267.655021	8.559123	245.82169999999996	8.55421
8.763161	268.990813	8.617820	247.157492	8.612907
8.822994	270.359656	8.677932	248.52633499999996	8.673019
8.882167	271.212233	8.736969	249.378912	8.732056
8.941798	272.082762	8.796387	250.249441	8.791474
9.001232	273.613552	8.856277	251.78023100000001	8.851364
9.060899	275.457529	8.915451	253.624208	8.910537999999999
9.121714	276.869512	8.976286	255.03619099999997	8.971373
9.181509	277.943531	9.036482	256.11021	9.031569
9.239181	279.634527	9.094523	257.801206	9.08961
9.358782	281.732172	9.213206	259.898851	9.208293
9.418351	283.826401	9.272926	261.99307999999996	9.268013
9.477859	284.981756	9.332626	263.148435	9.327713
9.537742	286.401024	9.392879	264.567703	9.387966
9.597273	287.089768	9.452666	265.256447	9.447753
9.649445	288.850231	9.506813	267.01691	9.5019
9.701599	290.292072	9.558671	268.458751	9.553758
9.758063	292.059374	9.613780	270.226053	9.608867
9.818191	293.251880	9.673027	271.418559	9.668114
9.877875	294.529031	9.732578	272.69570999999996	9.727665
9.938287	296.269407	9.792695	274.436086	9.787782
9.998744	297.498221	9.853681	275.6649	9.848768
10.058519	299.447128	9.913535	277.613807	9.908622
10.118593	300.351917	9.973475	278.518596	9.968562
10.186809	301.227119	10.000000	279.393798	9.995087
