2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-1.683790,#load/mN#-0.004979 loadDisp_c13r6_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	1.683790	0.004979	0.0	0.0
0.137468	1.823675	0.004980	1.0000000000001327e-06	0.13988500000000004
0.186706	4.492384	0.053463	0.048484	2.8085940000000003
0.238217	9.274103	0.105282	0.100303	7.590313
0.301510	14.125639	0.165056	0.160077	12.441849
0.360138	17.416910	0.224097	0.21911799999999998	15.733120000000001
0.418710	22.425943	0.283152	0.278173	20.742153000000002
0.477805	26.808981	0.341644	0.336665	25.125191
0.536718	30.881785	0.400824	0.395845	29.197995000000002
0.600537	34.474464	0.466375	0.461396	32.790673999999996
0.654136	37.272924	0.520554	0.515575	35.589134
0.708464	39.925222	0.574930	0.5699510000000001	38.241431999999996
0.761524	42.941452	0.627821	0.622842	41.257661999999996
0.820680	46.081466	0.685096	0.6801170000000001	44.397676
0.881819	48.725678	0.744338	0.7393590000000001	47.041888
0.942514	52.030713	0.805583	0.8006040000000001	50.346923
0.996251	54.746098	0.862670	0.8576910000000001	53.062308
1.053216	57.220760	0.918955	0.913976	55.53697
1.107839	59.830619	0.974569	0.9695900000000001	58.146829
1.160620	61.884665	1.027398	1.022419	60.200874999999996
1.218474	64.451184	1.084365	1.079386	62.767393999999996
1.271367	66.705484	1.137579	1.1325999999999998	65.021694
1.330371	69.112547	1.193575	1.188596	67.428757
1.388718	71.681829	1.252919	1.2479399999999998	69.99803899999999
1.446799	74.454823	1.310936	1.305957	72.771033
1.505776	77.289807	1.370004	1.365025	75.606017
1.563576	80.737348	1.428190	1.423211	79.053558
1.624740	83.581305	1.486832	1.4818529999999999	81.897515
1.684344	86.043551	1.547803	1.542824	84.35976099999999
1.736902	90.032000	1.603257	1.5982779999999999	88.34821
1.790167	92.407483	1.657196	1.6522169999999998	90.723693
1.843535	93.997055	1.709354	1.704375	92.313265
1.901270	95.849226	1.766596	1.761617	94.165436
1.952820	98.344535	1.819991	1.8150119999999998	96.66074499999999
2.005711	100.689287	1.871833	1.866854	99.00549699999999
2.061201	102.216407	1.928156	1.923177	100.532617
2.113721	104.952160	1.980022	1.9750429999999999	103.26837
2.171464	107.976429	2.036112	2.031133	106.292639
2.230042	111.076167	2.094390	2.089411	109.392377
2.288116	113.795457	2.152440	2.147461	112.111667
2.345495	115.696888	2.209888	2.204909	114.013098
2.403269	118.770921	2.267348	2.262369	117.087131
2.461570	121.915259	2.325650	2.320671	120.231469
2.520628	124.212112	2.384354	2.379375	122.528322
2.579401	126.556156	2.443569	2.43859	124.872366
2.636861	128.860001	2.501008	2.496029	127.17621100000001
2.695422	131.251049	2.559536	2.554557	129.567259
2.753355	134.785039	2.618073	2.613094	133.10124900000002
2.811535	138.100899	2.676011	2.671032	136.417109
2.869482	139.904558	2.734033	2.729054	138.22076800000002
2.927362	142.205871	2.792106	2.787127	140.52208100000001
2.984798	144.797931	2.849458	2.8444789999999998	143.11414100000002
3.043500	147.005121	2.907736	2.902757	145.32133100000001
3.101988	149.512020	2.965914	2.960935	147.82823000000002
3.160592	153.024262	3.024787	3.019808	151.340472
3.219538	157.165264	3.083087	3.078108	155.48147400000002
3.279532	161.350708	3.143110	3.138131	159.666918
3.338651	163.868936	3.202601	3.197622	162.185146
3.396687	165.976356	3.260773	3.255794	164.29256600000002
3.457203	168.306001	3.321240	3.316261	166.62221100000002
3.514876	169.642066	3.379170	3.3741909999999997	167.958276
3.574254	171.726094	3.438458	3.4334789999999997	170.042304
3.632850	174.486096	3.497145	3.492166	172.80230600000002
3.691152	176.622509	3.555731	3.550752	174.93871900000002
3.743121	178.125131	3.610057	3.605078	176.44134100000002
3.798570	180.104717	3.664207	3.659228	178.420927
3.856981	182.552637	3.721814	3.716835	180.86884700000002
3.913971	184.516056	3.780104	3.775125	182.832266
3.970309	186.542014	3.834031	3.829052	184.858224
4.030158	188.876355	3.894006	3.889027	187.192565
4.088876	191.206733	3.953184	3.9482049999999997	189.52294300000003
4.148474	193.416802	4.012684	4.0077050000000005	191.733012
4.207490	195.828364	4.071753	4.0667740000000006	194.144574
4.266490	197.738063	4.130796	4.1258170000000005	196.05427300000002
4.330286	200.879583	4.195933	4.1909540000000005	199.195793
4.386629	203.103498	4.251961	4.246982	201.419708
4.445703	205.907393	4.310120	4.305141000000001	204.22360300000003
4.504765	208.128583	4.368915	4.363936000000001	206.444793
4.563893	211.407840	4.428123	4.423144000000001	209.72405
4.622286	213.572373	4.486554	4.481575	211.888583
4.681100	215.304522	4.545340	4.540361000000001	213.620732
4.740304	217.269911	4.604527	4.599548	215.58612100000002
4.798685	219.550880	4.663281	4.658302	217.86709000000002
4.856610	221.464999	4.721133	4.716154	219.78120900000002
4.914161	222.937826	4.778828	4.773849	221.254036
4.972160	225.116231	4.836730	4.831751000000001	223.432441
5.030348	227.230934	4.894687	4.889708000000001	225.547144
5.087794	229.735667	4.952580	4.947601000000001	228.05187700000002
5.146154	232.222786	5.010407	5.005428	230.53899600000003
5.204381	233.546706	5.069021	5.064042000000001	231.862916
5.263537	235.261441	5.127810	5.122831000000001	233.577651
5.327566	237.041235	5.193199	5.18822	235.357445
5.382683	238.731635	5.248105	5.243126	237.04784500000002
5.438150	240.693702	5.303280	5.298301	239.009912
5.498466	243.746519	5.362724	5.357745	242.06272900000002
5.557104	246.848705	5.421629	5.416650000000001	245.164915
5.614451	249.434820	5.479368	5.474389	247.75103000000001
5.671598	251.624386	5.536313	5.531334	249.940596
5.728417	254.100504	5.595103	5.590124	252.416714
5.781987	256.422332	5.647857	5.6428780000000005	254.738542
5.841543	258.285818	5.705605	5.700626000000001	256.602028
5.900202	260.478863	5.765494	5.760515000000001	258.795073
5.951638	263.486060	5.818828	5.813849	261.80227
6.004386	265.402064	5.870787	5.865808	263.718274
6.064317	267.095344	5.928050	5.923071	265.411554
6.125565	270.064248	5.989789	5.98481	268.38045800000003
6.185332	273.022236	6.049523	6.044544	271.33844600000003
6.244956	274.415446	6.108274	6.103295	272.731656
6.304221	276.403980	6.168275	6.163296000000001	274.72019
6.363566	279.123400	6.227571	6.222592000000001	277.43961
6.423396	280.858833	6.287773	6.282794	279.175043
6.481351	282.238530	6.345806	6.340827	280.55474000000004
6.540786	283.586682	6.404776	6.399797	281.902892
6.599040	285.947207	6.463270	6.458291	284.263417
6.657517	291.044318	6.521801	6.516822	289.360528
6.715710	293.650566	6.579896	6.574917	291.96677600000004
6.774621	296.028567	6.638808	6.633829	294.344777
6.832048	298.308286	6.696462	6.691483000000001	296.624496
6.891403	301.422918	6.755574	6.750595000000001	299.739128
6.948770	303.720577	6.813164	6.808185000000001	302.036787
7.007946	305.270254	6.872348	6.867369	303.58646400000003
7.066033	310.501930	6.930499	6.925520000000001	308.81814
7.124863	313.182818	6.988915	6.983936000000001	311.499028
7.183213	315.201413	7.047774	7.042795000000001	313.517623
7.240543	317.437189	7.105091	7.100112	315.753399
7.300534	319.200855	7.164722	7.159743000000001	317.517065
7.355720	320.299386	7.222765	7.217786	318.61559600000004
7.411780	322.554196	7.276679	7.2717	320.870406
7.471616	324.357298	7.335733	7.330754000000001	322.673508
7.530958	326.306082	7.395124	7.390145	324.622292
7.590879	329.245018	7.455042	7.450063	327.561228
7.648949	331.428982	7.513180	7.508201000000001	329.74519200000003
7.708772	333.628034	7.573120	7.568141000000001	331.944244
7.763156	335.556350	7.630344	7.625365	333.87256
7.817098	336.281200	7.683196	7.678217	334.59741
7.876591	339.403519	7.741394	7.736415	337.71972900000003
7.929177	341.806255	7.796201	7.791222	340.12246500000003
7.982168	343.118568	7.848900	7.843921000000001	341.434778
8.044424	345.569235	7.907416	7.902437	343.885445
8.105741	347.197842	7.969740	7.964761	345.514052
8.165727	348.580651	8.030160	8.025181	346.896861
8.223571	350.384715	8.089640	8.084660999999999	348.70092500000004
8.280038	352.193659	8.144983	8.140004	350.50986900000004
8.339366	353.842258	8.203441	8.198462	352.158468
8.398122	355.943382	8.262795	8.257816	354.259592
8.457970	358.927334	8.322602	8.317623	357.243544
8.518242	360.882669	8.382302	8.377322999999999	359.19887900000003
8.575384	362.693678	8.440200	8.435221	361.009888
8.635363	364.571804	8.499351	8.494372	362.888014
8.694810	366.522685	8.560053	8.555074	364.83889500000004
8.751732	368.978317	8.617050	8.612071	367.294527
8.810700	371.632621	8.674903	8.669924	369.948831
8.871951	373.698421	8.736074	8.731095	372.014631
8.930818	375.631883	8.795371	8.790391999999999	373.94809300000003
8.991230	377.721746	8.855511	8.850532	376.037956
9.050525	380.299393	8.914918	8.909939	378.615603
9.109764	382.588984	8.973596	8.968617	380.905194
9.170131	384.781199	9.034338	9.029359	383.097409
9.230385	386.497962	9.094265	9.089286	384.814172
9.290982	389.018682	9.155167	9.150188	387.334892
9.350672	391.805338	9.214861	9.209882	390.121548
9.410255	394.182356	9.274422	9.269442999999999	392.49856600000004
9.469770	396.181475	9.333780	9.328801	394.497685
9.529368	397.461360	9.393728	9.388748999999999	395.77757
9.588166	399.651624	9.452538	9.447559	397.96783400000004
9.644346	401.664179	9.511597	9.506618	399.980389
9.697839	404.202609	9.563812	9.558833	402.518819
9.758949	406.750936	9.623317	9.618338	405.06714600000004
9.818701	408.671525	9.683117	9.678137999999999	406.987735
9.878538	410.765944	9.743375	9.738396	409.082154
9.931093	412.941883	9.798429	9.79345	411.25809300000003
9.983675	415.327679	9.850884	9.845905	413.643889
10.038367	416.820748	9.905263	9.900284	415.136958
10.094811	419.394312	9.960343	9.955364	417.710522
10.156504	421.043415	10.000000	9.995021	419.359625
10.267233	423.315729	9.999990	9.995011	421.631939
