2	header
addCalculation v2.0.2-1634-g370b23d5	-l exp_depth/nm,exp_load/mN -f #depth/nm#-0,#load/mN#-0 loadDisp_c1r1_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.0	0.0	0.0	0.0	0.0
0.150732	2.289493	0.050238	0.050238	2.289493
0.206107	8.345833	0.105924	0.105924	8.345833
0.267947	17.460682	0.166388	0.166388	17.460682
0.325536	21.981414	0.223354	0.223354	21.981414
0.383532	27.436634	0.281377	0.281377	27.436634
0.441281	32.687375	0.338900	0.3389	32.687375
0.500615	35.888152	0.398150	0.39815	35.888152
0.558646	40.219880	0.456099	0.456099	40.21988
0.621667	45.022251	0.520252	0.520252	45.022251
0.680746	49.065376	0.579867	0.579867	49.065376
0.736071	54.288849	0.634702	0.634702	54.288849
0.794056	57.783468	0.691839	0.691839	57.783468
0.851475	63.080695	0.749494	0.749494	63.080695
0.909017	67.805593	0.807094	0.807094	67.805593
0.966685	71.283777	0.864817	0.864817	71.283777
1.023784	75.541536	0.921729	0.921729	75.541536
1.078540	79.496707	0.978472	0.978472	79.496707
1.129773	83.555072	1.030653	1.030653	83.555072
1.184072	87.938662	1.084892	1.084892	87.938662
1.238274	91.063603	1.136624	1.136624	91.063603
1.297407	96.225255	1.194123	1.194123	96.225255
1.357816	100.507923	1.253853	1.253853	100.507923
1.415928	105.124990	1.313045	1.313045	105.12499
1.474543	109.852563	1.371472	1.371472	109.852563
1.532856	113.482498	1.429938	1.429938	113.482498
1.590396	118.729529	1.488145	1.488145	118.729529
1.649518	123.928605	1.546487	1.546487	123.928605
1.707262	127.559616	1.605081	1.605081	127.559616
1.765918	132.509909	1.663527	1.663527	132.509909
1.823849	136.795295	1.721371	1.721371	136.795295
1.879428	141.046329	1.779731	1.779731	141.046329
1.937079	145.997598	1.834097	1.834097	145.997598
1.997528	150.061425	1.894252	1.894252	150.061425
2.057421	154.447460	1.954069	1.954069	154.44746
2.115923	157.871498	2.013510	2.01351	157.871498
2.175122	162.675703	2.072943	2.072943	162.675703
2.233170	167.637195	2.131040	2.13104	167.637195
2.291091	172.144715	2.188615	2.188615	172.144715
2.349728	176.726679	2.247153	2.247153	176.726679
2.409186	180.276723	2.306925	2.306925	180.276723
2.467905	184.943495	2.365436	2.365436	184.943495
2.526175	189.672501	2.424403	2.424403	189.672501
2.584519	193.144361	2.482009	2.482009	193.144361
2.643087	198.184421	2.540846	2.540846	198.184421
2.701713	202.559995	2.598920	2.59892	202.559995
