2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-5.640104,#load/mN#-0.004135 loadDisp_c7r13_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	5.640104	0.004135	0.0	0.0
0.154115	6.072437	0.004136	1.0000000000001327e-06	0.43233299999999986
0.209566	8.567039	0.059879	0.055744	2.9269349999999994
0.255870	11.583994	0.106960	0.102825	5.943890000000001
0.311995	15.270848	0.162637	0.158502	9.630744
0.367446	16.815195	0.216000	0.211865	11.175090999999998
0.426202	20.136418	0.273856	0.269721	14.496313999999998
0.485146	22.807961	0.332708	0.328573	17.167856999999998
0.544273	25.036321	0.391621	0.387486	19.396217
0.602548	28.295179	0.450336	0.446201	22.655075
0.664086	30.159812	0.514675	0.51054	24.519707999999998
0.720260	32.303429	0.570260	0.566125	26.663325
0.777961	35.199569	0.625404	0.621269	29.559464999999996
0.835991	35.901345	0.683861	0.679726	30.261241
0.894319	38.651390	0.741936	0.737801	33.011286
0.953058	40.371144	0.800792	0.796657	34.73104
1.011479	41.716043	0.859110	0.854975	36.075939
1.069449	44.350978	0.917621	0.913486	38.710874
1.126218	45.902041	0.975016	0.970881	40.261936999999996
1.178215	47.463559	1.028791	1.024656	41.823454999999996
1.234249	48.960078	1.084593	1.080458	43.319974
1.288776	51.272024	1.138119	1.133984	45.63192
1.347088	53.931867	1.194623	1.190488	48.291762999999996
1.404685	55.296880	1.252438	1.248303	49.656776
1.463671	57.813193	1.311632	1.307497	52.173089
1.520649	58.572133	1.369202	1.365067	52.932029
1.571597	59.357191	1.422630	1.418495	53.717087
1.623796	62.197001	1.474605	1.47047	56.556897
1.678596	63.489351	1.529193	1.525058	57.849247
1.733298	65.052318	1.582405	1.57827	59.412214
1.792277	67.660482	1.639607	1.635472	62.020378
1.851222	69.041247	1.698814	1.694679	63.401143
1.909954	71.260793	1.757255	1.75312	65.62068900000001
1.968837	73.630223	1.816677	1.812542	67.990119
2.027830	74.952281	1.875777	1.871642	69.312177
2.087744	77.563101	1.934871	1.930736	71.92299700000001
2.148247	78.982227	1.996171	1.992036	73.342123
2.210262	80.981907	2.056553	2.0524180000000003	75.34180300000001
2.269130	82.050378	2.116676	2.1125410000000002	76.410274
2.327213	84.204614	2.175707	2.1715720000000003	78.56451000000001
2.380847	85.284914	2.230797	2.226662	79.64481
2.440966	86.830802	2.287908	2.283773	81.19069800000001
2.502496	89.275951	2.349288	2.345153	83.63584700000001
2.561972	89.506012	2.409698	2.405563	83.865908
2.620842	90.942980	2.468244	2.4641089999999997	85.30287600000001
2.680129	92.825178	2.527921	2.5237860000000003	87.185074
2.738418	93.066734	2.586193	2.582058	87.42663
2.792702	95.243561	2.643037	2.638902	89.603457
2.850022	96.417324	2.696860	2.6927250000000003	90.77722
2.910640	98.544022	2.758297	2.754162	92.903918
2.968615	99.949867	2.816753	2.8126179999999996	94.309763
3.026982	101.161461	2.875127	2.870992	95.52135700000001
3.086034	102.581661	2.933851	2.929716	96.941557
3.145868	103.816260	2.993477	2.9893419999999997	98.176156
3.204290	105.449108	3.052428	3.048293	99.809004
3.261411	106.660832	3.109763	3.1056280000000003	101.020728
3.316526	108.232014	3.166627	3.1624920000000003	102.59191000000001
3.373800	110.647980	3.220742	3.2166069999999998	105.00787600000001
3.434157	110.562417	3.281454	3.2773190000000003	104.922313
3.492779	112.219781	3.340307	3.3361720000000004	106.579677
3.551601	113.418173	3.399637	3.3955019999999996	107.778069
3.607237	114.748440	3.456022	3.451887	109.10833600000001
3.660238	117.178669	3.510786	3.5066509999999997	111.538565
3.718551	118.408095	3.566794	3.562659	112.76799100000001
3.778149	119.973822	3.626136	3.622001	114.333718
3.840983	122.060382	3.686933	3.682798	116.42027800000001
3.900176	122.508907	3.748276	3.744141	116.868803
3.959107	124.012224	3.807004	3.8028690000000003	118.37212000000001
4.018524	125.394378	3.866514	3.862379	119.75427400000001
4.076959	126.955521	3.924880	3.920745	121.31541700000001
4.134173	127.863912	3.982619	3.978484	122.223808
4.192230	129.473119	4.040215	4.03608	123.833015
4.251504	130.913909	4.099223	4.0950880000000005	125.273805
4.313104	131.926065	4.162756	4.158621	126.285961
4.367320	135.410479	4.216878	4.212743000000001	129.770375
4.425596	136.681880	4.273786	4.2696510000000005	131.041776
