2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-1.850671,#load/mN#-0.003249 loadDisp_c1r1_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
0.000000	1.850671	0.003249	0.0	0.0
0.131113	1.783384	0.003250	-0.06728699999999987	9.99999999999699e-07
0.184167	3.008088	0.035117	1.157417	0.031868
0.233599	6.157628	0.064586	4.306957	0.061337
0.290726	10.410589	0.098276	8.559918	0.095027
0.353993	13.625974	0.135299	11.775303	0.13205
0.409332	15.806786	0.169108	13.956115	0.165859
0.460791	18.468784	0.200245	16.618113	0.196996
0.514251	21.637839	0.233006	19.787168	0.229757
0.570527	24.037700	0.265895	22.187029000000003	0.262646
0.629408	26.753268	0.300211	24.902597	0.296962
0.689391	30.212167	0.336146	28.361496000000002	0.332897
0.750019	32.515281	0.372484	30.664610000000003	0.369235
0.804757	34.227950	0.407069	32.377279	0.40382
0.864558	36.977638	0.442273	35.126967	0.439024
0.926925	38.269580	0.477941	36.418909	0.474692
0.977848	41.579659	0.511295	39.728988	0.5080460000000001
1.033519	42.962344	0.544616	41.111673	0.541367
1.086183	44.519891	0.575680	42.66922	0.572431
1.137047	47.499214	0.606852	45.648543000000004	0.603603
1.189581	49.338343	0.637588	47.487672	0.6343390000000001
1.249243	51.904674	0.671913	50.054003	0.668664
1.308090	53.898956	0.707546	52.048285	0.7042970000000001
1.366095	55.520190	0.742301	53.669519	0.739052
1.424893	56.856729	0.777756	55.006058	0.7745070000000001
1.478706	58.210856	0.811078	56.360185	0.807829
1.532182	60.690490	0.843086	58.839819	0.8398370000000001
1.587014	62.184729	0.875535	60.334058	0.872286
1.646905	63.600065	0.910855	61.749394	0.907606
1.704525	66.594809	0.945755	64.74413799999999	0.9425060000000001
1.762449	68.300144	0.980126	66.449473	0.9768770000000001
1.819986	71.062764	1.014936	69.212093	1.011687
1.882440	73.909466	1.052959	72.05879499999999	1.04971
1.938548	75.186445	1.086319	73.335774	1.08307
1.997335	77.241003	1.120873	75.390332	1.117624
2.055525	78.585705	1.155988	76.735034	1.152739
2.112963	81.897571	1.190644	80.0469	1.187395
2.169087	83.118045	1.224605	81.26737399999999	1.2213559999999999
2.226762	84.648022	1.259049	82.79735099999999	1.2558
2.284158	86.862489	1.293333	85.01181799999999	1.290084
2.338173	88.650152	1.327009	86.799481	1.32376
2.393696	91.154236	1.359274	89.30356499999999	1.356025
2.447726	93.500505	1.393016	91.649834	1.389767
2.501289	94.181162	1.424587	92.330491	1.421338
2.557177	96.817778	1.457605	94.967107	1.454356
2.610429	98.384816	1.490351	96.534145	1.487102
