1 head
time/s	depth/nm	load/mN
0.000000	0.0	0.0
0.225825	0.347427	0.040167
0.275574	2.227832	0.069779
0.334426	5.046981	0.103803
0.398076	8.104998	0.142620
0.450634	10.373235	0.174346
0.502045	12.579763	0.206151
0.557557	14.334599	0.238304
0.617104	15.708075	0.273143
0.676070	17.644945	0.308774
0.734857	20.418812	0.343998
0.795378	23.463566	0.380449
0.855136	26.409538	0.416153
0.920728	27.993114	0.456263
0.975354	29.681963	0.490073
1.031226	31.593851	0.522078
1.084698	33.845359	0.556293
1.137219	36.998427	0.587338
1.193548	39.285475	0.619129
1.252710	40.056328	0.654157
1.307916	40.893019	0.688916
1.360120	41.687674	0.720465
1.418252	42.859307	0.754325
1.476071	44.535279	0.788901
1.533838	45.956434	0.823498
1.592258	46.859112	0.858539
1.651422	49.005091	0.894062
1.707862	51.493778	0.928213
1.767077	54.933176	0.963195
1.826513	59.164595	0.999245
1.883930	60.823307	1.033715
1.949535	61.731095	1.071936
2.007962	62.574646	1.107611
2.065744	63.381838	1.142580
2.118651	64.386027	1.175226
2.174412	65.170900	1.209463
2.228760	66.249929	1.241249
2.288043	67.137169	1.275939
2.346349	68.246679	1.311023
2.403909	69.759744	1.346065
2.455201	70.957807	1.378362
2.506687	71.966813	1.408833
2.563984	72.493206	1.441985
2.620637	74.786660	1.475873
2.675018	77.017893	1.509788
2.729005	77.751047	1.541418
2.787140	79.158867	1.575754
2.840496	79.974798	1.609319
2.894918	81.057314	1.640638
2.955486	81.971363	1.676738
3.012791	83.064440	1.710182
3.072345	83.771692	1.746621
3.130542	85.741208	1.781445
3.188568	87.057899	1.816425
3.246880	88.381249	1.851586
3.299110	88.868091	1.884325
3.357294	90.211635	1.918019
3.418833	91.589536	1.953974
3.479868	92.835264	1.991168
3.538887	94.072966	2.026612
3.597013	95.630670	2.061444
3.655647	98.345324	2.096588
3.712764	99.283866	2.131110
3.770936	100.078217	2.165919
3.825778	101.289533	2.199950
3.879793	102.063186	2.232194
3.940175	103.518497	2.267409
3.995922	104.203669	2.302328
4.051675	106.270930	2.334680
4.110411	109.018554	2.369504
4.166386	109.786277	2.404749
4.221970	111.322919	2.436486
4.281985	112.557626	2.471940
4.341135	114.063919	2.508067
4.398865	115.482124	2.542909
4.452648	116.867436	2.576114
4.504796	117.941370	2.607753
4.558079	119.091775	2.639157
4.615829	120.531881	2.672867
4.675250	122.398743	2.708429
4.734236	123.246908	2.743693
4.793837	124.965810	2.779416
4.851658	125.997066	2.814528
4.908318	126.492178	2.848700
4.964246	128.416272	2.883235
5.015943	129.479549	2.914434
5.070582	130.806222	2.946334
5.128806	131.470564	2.980542
5.186585	133.037296	3.015153
5.244169	134.360007	3.049844
5.302450	135.420854	3.084773
5.361976	136.878327	3.120302
5.420104	138.833281	3.155556
5.478020	141.561037	3.189920
5.536963	142.971914	3.225615
5.595193	145.167839	3.260535
5.657770	149.376971	3.298109
5.716260	150.641539	3.333027
5.775078	150.803563	3.368209
5.832928	150.831758	3.403282
5.884013	152.218567	3.435407
5.935533	152.769827	3.466134
5.989456	152.948353	3.498425
6.046779	153.999445	3.531796
6.104514	155.332188	3.566144
6.163098	155.929706	3.601108
6.222136	157.067655	3.636825
6.275833	159.340428	3.670286
6.333062	161.620633	3.703343
6.392450	163.330420	3.738765
6.448751	164.364548	3.773212
6.501122	164.696717	3.805633
6.557274	165.808191	3.838592
6.616798	166.955759	3.873489
6.678376	167.808072	3.910206
6.740921	168.774088	3.946872
6.800976	170.291126	3.983637
6.860491	171.053877	4.019601
6.918312	173.075882	4.054461
6.976435	174.727522	4.089349
7.031298	175.461695	4.122905
7.089781	177.163539	4.157801
7.148235	179.190525	4.191777
7.207683	179.661598	4.227678
7.263183	181.315058	4.261843
7.318932	183.206931	4.295311
7.373898	184.489529	4.329109
7.431519	186.476873	4.362758
7.493546	187.802360	4.399059
7.555372	188.518060	4.435783
7.608942	189.452572	4.470194
7.666613	190.697599	4.503776
7.723447	190.848622	4.538937
7.780927	192.035833	4.572552
7.846013	194.540116	4.609122
7.904453	196.461829	4.646071
7.956804	198.013098	4.678654
8.015234	198.886569	4.712542
8.077733	199.366259	4.748861
8.132134	200.206727	4.784329
8.188271	201.923981	4.817154
8.248086	203.493935	4.852116
8.310165	205.687237	4.889050
8.365725	208.419320	4.924338
8.421360	208.946153	4.957733
8.474180	210.403965	4.989474
8.528965	210.664623	5.020821
8.587180	212.396940	5.054910
8.647553	212.859395	5.091214
8.707217	213.849034	5.127244
8.773085	215.766045	5.167743
8.836660	216.768926	5.204233
8.890255	217.389631	5.239111
8.945561	219.078682	5.271639
9.003510	220.537085	5.306875
9.059531	222.466487	5.339558
9.118911	224.054390	5.374677
9.179056	224.896797	5.410604
9.240628	226.481348	5.447565
9.296223	228.390187	5.482595
9.354953	231.088650	5.516853
9.414380	234.604783	5.551992
9.475116	237.572289	5.588223
9.536104	238.831323	5.624321
9.596001	241.939095	5.660678
9.655785	242.649821	5.696712
9.714199	243.984138	5.731938
9.772523	245.183407	5.766996
9.831919	245.452194	5.802584
9.887105	246.216139	5.836986
9.943087	246.331349	5.868712
9.996164	246.734680	5.902662
10.055274	247.290011	5.936740
10.117882	248.067651	5.973010
10.172364	248.859640	6.000000
