2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.542864,#load/mN#-0.005020 loadDisp_c3r1_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	2.542864	0.005020	0.0	0.0
0.211477	5.207914	0.054232	0.049212000000000006	2.66505
0.262121	10.109828	0.104379	0.099359	7.5669640000000005
0.318765	15.236714	0.161151	0.156131	12.69385
0.372234	20.404717	0.213047	0.208027	17.861853000000004
0.429895	25.964143	0.269137	0.264117	23.421279
0.486621	29.475431	0.326425	0.321405	26.932567
0.544444	33.420479	0.383816	0.37879599999999997	30.877615
0.602185	37.252757	0.441893	0.43687299999999996	34.709893
0.665010	39.606481	0.504662	0.49964200000000003	37.063617
0.727971	42.292572	0.568103	0.563083	39.749708
0.781852	45.934943	0.624146	0.619126	43.392078999999995
0.837064	49.686077	0.677937	0.672917	47.143212999999996
0.895739	52.130011	0.735955	0.730935	49.587147
0.947219	55.106979	0.789737	0.784717	52.564115
0.998877	57.765318	0.841084	0.836064	55.222454
1.056848	60.556974	0.897164	0.8921439999999999	58.014109999999995
1.109663	62.865709	0.952234	0.947214	60.322845
1.161946	64.927562	1.004175	0.999155	62.38469799999999
1.219051	67.468563	1.060300	1.05528	64.92569900000001
1.285282	70.529746	1.126116	1.1210959999999999	67.98688200000001
1.341003	73.612339	1.181427	1.176407	71.06947500000001
1.396145	76.007803	1.236411	1.231391	73.464939
1.457901	78.594418	1.295125	1.290105	76.05155400000001
1.516976	80.903456	1.355892	1.350872	78.36059200000001
1.575678	83.397561	1.414912	1.409892	80.854697
1.634072	86.408979	1.473609	1.468589	83.86611500000001
1.693230	89.700280	1.532314	1.527294	87.15741600000001
1.752689	92.320561	1.591609	1.586589	89.777697
1.811335	95.432075	1.650431	1.645411	92.889211
1.870894	97.782086	1.710217	1.705197	95.23922200000001
1.929622	99.837159	1.769028	1.764008	97.294295
1.989660	102.625557	1.828831	1.823811	100.082693
2.048296	105.089750	1.887717	1.882697	102.546886
2.104853	107.521336	1.946243	1.941223	104.97847200000001
2.158958	109.570314	1.999699	1.9946789999999999	107.02745
2.216897	112.905752	2.056632	2.051612	110.36288800000001
2.273992	115.558124	2.113778	2.108758	113.01526000000001
2.333775	117.157061	2.173013	2.167993	114.614197
2.391890	120.643220	2.231158	2.226138	118.100356
2.451416	123.277483	2.290900	2.28588	120.73461900000001
2.508992	125.332514	2.348786	2.343766	122.78965000000001
2.567429	126.909635	2.406810	2.40179	124.366771
2.624398	130.228170	2.464219	2.459199	127.68530600000001
2.683730	132.730761	2.523126	2.518106	130.187897
2.741910	135.160396	2.581165	2.576145	132.61753199999998
2.801306	136.987462	2.640290	2.63527	134.44459799999998
2.859522	139.548455	2.699532	2.694512	137.00559099999998
2.912586	141.287712	2.753656	2.748636	138.744848
2.964419	143.737126	2.807100	2.80208	141.19426199999998
3.017439	146.491625	2.858756	2.853736	143.948761
3.076920	149.829371	2.916157	2.911137	147.286507
3.135164	152.606151	2.974766	2.9697459999999998	150.063287
3.194514	154.529928	3.034288	3.029268	151.987064
3.254904	156.740008	3.093765	3.088745	154.19714399999998
3.315370	159.759500	3.154862	3.149842	157.216636
3.375098	163.755546	3.214382	3.209362	161.212682
3.438225	168.607815	3.276104	3.271084	166.06495099999998
3.495003	171.348430	3.334982	3.329962	168.805566
3.548985	174.162267	3.390317	3.385297	171.619403
3.609357	177.079011	3.448534	3.443514	174.536147
3.671406	179.847448	3.509774	3.504754	177.304584
3.731056	182.270757	3.570029	3.565009	179.727893
3.789797	184.727376	3.629512	3.624492	182.18451199999998
3.847941	186.868309	3.687609	3.682589	184.325445
3.907156	189.268892	3.746481	3.741461	186.72602799999999
3.965552	191.818563	3.805084	3.800064	189.275699
4.024232	193.986217	3.863818	3.858798	191.443353
4.083688	196.149963	3.923088	3.918068	193.607099
4.142493	197.952467	3.981635	3.976615	195.409603
4.202590	200.679376	4.042071	4.037051	198.13651199999998
4.262035	203.417925	4.101485	4.096465	200.875061
4.327365	205.455350	4.166952	4.161932	202.912486
4.385634	208.533289	4.225467	4.220447	205.990425
4.442687	211.181765	4.282395	4.277375	208.638901
4.500205	213.735463	4.340157	4.335137	211.192599
4.557224	215.910762	4.396976	4.391956	213.367898
4.612057	217.457496	4.454299	4.449279	214.91463199999998
4.666893	220.085598	4.507731	4.502711	217.542734
4.726596	223.032304	4.565766	4.560746	220.48944
4.785257	225.555630	4.624766	4.619746	223.012766
4.843944	228.478736	4.683373	4.6783529999999995	225.935872
4.902727	232.964512	4.743394	4.738374	230.421648
4.953969	236.799046	4.796485	4.791465	234.256182
5.010536	238.074024	4.851493	4.846473	235.53116
5.070671	239.845902	4.910061	4.905041	237.303038
5.128056	242.037273	4.968155	4.963135	239.494409
5.186221	243.933981	5.025395	5.020375	241.39111699999998
5.245232	247.596773	5.084566	5.079546	245.053909
5.304552	251.158160	5.143863	5.138843	248.615296
5.368622	252.823079	5.209095	5.204075	250.280215
5.424690	254.585645	5.264844	5.259824	252.042781
5.484181	256.252132	5.323571	5.318551	253.709268
5.543019	257.674121	5.382244	5.377224	255.131257
5.600974	259.792440	5.440811	5.435791	257.249576
5.659287	262.262874	5.498906	5.493886	259.72001
5.717971	263.334333	5.557484	5.552464	260.791469
5.776780	264.730782	5.616756	5.611736	262.18791799999997
5.835901	266.298441	5.675450	5.67043	263.755577
5.893866	267.902142	5.733805	5.728785	265.359278
5.951194	269.932191	5.791067	5.786047	267.389327
6.009936	271.501500	5.849949	5.844929	268.958636
6.067080	273.182505	5.906949	5.901929	270.639641
6.125717	275.719821	5.965163	5.960143	273.176957
6.183981	279.281357	6.023960	6.01894	276.738493
6.242129	280.839427	6.081801	6.0767809999999995	278.296563
6.300315	282.564130	6.140003	6.134983	280.02126599999997
6.359319	285.034176	6.198708	6.193688	282.491312
6.418569	287.630181	6.257945	6.252925	285.087317
6.477045	289.525439	6.316498	6.311478	286.982575
6.537069	291.596532	6.376247	6.371227	289.053668
6.596522	293.737255	6.436123	6.431103	291.194391
6.653778	295.707974	6.493656	6.488636	293.16510999999997
6.711341	297.832369	6.551080	6.54606	295.289505
6.769542	301.023251	6.609284	6.604264	298.480387
6.828407	302.731997	6.668211	6.663191	300.18913299999997
6.885398	305.566041	6.725754	6.720734	303.023177
6.937851	306.787082	6.780492	6.775472	304.244218
6.990229	308.329879	6.831726	6.826706	305.787015
7.049043	310.987012	6.888501	6.883481	308.444148
7.108816	314.387750	6.948117	6.943097	311.844886
7.167510	315.953776	7.007201	7.002181	313.410912
7.226068	317.857707	7.065663	7.060643	315.314843
7.285049	319.270181	7.124609	7.119589	316.72731699999997
7.343864	321.330089	7.183158	7.178138	318.787225
7.403728	323.381339	7.243545	7.238525	320.838475
7.461983	325.829417	7.301546	7.296526	323.28655299999997
7.521259	328.169286	7.360654	7.355634	325.626422
7.582080	330.639273	7.421228	7.416208	328.096409
7.641003	332.163201	7.480309	7.475289	329.620337
7.699290	334.067174	7.539038	7.534018	331.52431
7.757260	336.096318	7.597136	7.592116	333.553454
7.816437	338.311208	7.656047	7.651027	335.768344
7.872890	340.493460	7.714797	7.709777	337.950596
7.928556	343.107379	7.769366	7.764346	340.564515
7.987552	345.554368	7.827138	7.822118	343.011504
8.048101	347.748145	7.887316	7.882296	345.205281
8.107755	350.158759	7.946935	7.941915	347.61589499999997
8.168282	352.880886	8.007757	8.002737	350.33802199999997
8.228563	355.207086	8.068154	8.063134	352.664222
