2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-1.802870,#load/mN#-0.004204 loadDisp_c4r6_rt.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
0.000000	1.802870	0.004204	0.0	0.0
0.202524	3.782679	0.052089	1.979809	0.047885000000000004
0.253541	7.066616	0.102893	5.263745999999999	0.098689
0.316223	10.578723	0.163223	8.775853	0.159019
0.374127	15.652696	0.220771	13.849826	0.21656699999999998
0.431978	19.739480	0.278138	17.93661	0.273934
0.490222	23.623786	0.336515	21.820916	0.332311
0.548191	26.587425	0.394540	24.784555	0.390336
0.606520	28.150828	0.452806	26.347958000000002	0.448602
0.669977	30.661143	0.518061	28.858273	0.513857
0.726717	33.466166	0.575849	31.663296000000003	0.5716450000000001
0.778616	36.306457	0.627244	34.503587	0.62304
0.838295	38.434089	0.684395	36.631219	0.680191
0.896893	40.655008	0.742589	38.852138000000004	0.7383850000000001
0.954637	43.493395	0.801139	41.690525	0.7969350000000001
1.014124	45.445058	0.860771	43.642188000000004	0.856567
1.070555	47.496434	0.917783	45.693564	0.913579
1.121528	49.012643	0.970650	47.209773	0.966446
1.172644	51.496772	1.021928	49.693902	1.0177239999999999
1.229821	54.339162	1.077954	52.536292	1.07375
1.288282	57.021281	1.134621	55.218411	1.130417
1.346824	59.381188	1.193016	57.578318	1.188812
1.405130	61.301211	1.251602	59.498341	1.247398
1.463057	64.540465	1.309401	62.737595	1.305197
1.521694	68.681790	1.368016	66.87892000000001	1.3638119999999998
1.580481	70.842933	1.426714	69.040063	1.42251
1.639449	72.697446	1.485786	70.894576	1.481582
1.698238	75.617431	1.544407	73.814561	1.540203
1.758175	77.866098	1.604444	76.063228	1.6002399999999999
1.815236	80.290533	1.661922	78.487663	1.6577179999999998
1.873809	82.468419	1.720170	80.665549	1.7159659999999999
1.930922	85.244712	1.779262	83.44184200000001	1.7750579999999998
1.983958	87.230091	1.832188	85.427221	1.8279839999999998
2.041797	90.579608	1.888056	88.776738	1.8838519999999999
2.100297	92.709056	1.946954	90.906186	1.94275
2.157595	94.911511	2.004276	93.108641	2.000072
2.216417	96.545574	2.062736	94.742704	2.058532
2.273446	98.399888	2.120316	96.597018	2.1161119999999998
2.332021	99.944542	2.178374	98.141672	2.1741699999999997
2.389474	101.952939	2.236246	100.150069	2.232042
2.445983	104.084729	2.292637	102.281859	2.288433
2.503024	105.874687	2.349641	104.071817	2.345437
2.560648	108.190766	2.407259	106.387896	2.4030549999999997
2.617655	110.800667	2.464394	108.997797	2.46019
2.673624	112.286018	2.520904	110.483148	2.5166999999999997
2.725294	113.842139	2.574577	112.039269	2.570373
2.777110	115.929126	2.626106	114.126256	2.621902
2.831718	117.650424	2.679190	115.847554	2.674986
2.891874	119.583203	2.737548	117.780333	2.7333439999999998
2.949801	121.307067	2.796951	119.504197	2.792747
3.003079	123.118498	2.850364	121.315628	2.84616
3.062839	125.729538	2.907318	123.926668	2.903114
3.122039	127.540563	2.968246	125.73769300000001	2.964042
3.180230	129.576836	3.026476	127.77396599999999	3.022272
3.238899	131.971630	3.085485	130.16876	3.0812809999999997
3.297174	134.108909	3.143458	132.306039	3.1392539999999998
3.356686	136.421777	3.203001	134.61890699999998	3.198797
3.415440	137.635784	3.261916	135.832914	3.2577119999999997
3.475143	139.819709	3.320985	138.01683899999998	3.3167809999999998
3.534179	142.640268	3.380349	140.83739799999998	3.3761449999999997
3.593229	144.845854	3.439306	143.042984	3.435102
3.651349	146.813722	3.498006	145.010852	3.493802
3.710560	148.465987	3.556687	146.663117	3.552483
3.769613	150.444952	3.616129	148.642082	3.611925
3.826602	152.121511	3.673347	150.31864099999999	3.669143
3.884287	154.295848	3.730781	152.492978	3.726577
3.943803	156.843239	3.790237	155.040369	3.7860329999999998
4.001331	158.371499	3.848865	156.568629	3.844661
4.058196	160.190878	3.905402	158.38800799999999	3.901198
4.117351	161.630993	3.963465	159.82812299999998	3.9592609999999997
4.176790	163.935515	4.022894	162.132645	4.01869
4.235213	166.204150	4.081719	164.40127999999999	4.077515
4.293376	167.847219	4.139977	166.04434899999998	4.135773
4.356125	170.491708	4.203930	168.68883799999998	4.199726
4.410910	172.864355	4.258750	171.06148499999998	4.254546
4.469959	175.481188	4.316320	173.678318	4.3121160000000005
4.529797	178.129264	4.376183	176.326394	4.3719790000000005
4.588628	179.439013	4.434851	177.63614299999998	4.4306470000000004
4.646335	182.382411	4.493086	180.57954099999998	4.488882
4.700494	183.851527	4.549614	182.048657	4.54541
4.751841	185.533085	4.600734	183.730215	4.5965300000000004
4.808943	187.668536	4.654902	185.86566599999998	4.650698
4.869510	189.094425	4.715868	187.291555	4.711664000000001
4.927652	191.637944	4.774203	189.835074	4.769999
4.987206	193.511208	4.833804	191.708338	4.8296
5.044492	195.185606	4.891581	193.382736	4.887377000000001
5.103832	196.966647	4.950300	195.16377699999998	4.946096000000001
5.162365	198.680685	5.008879	196.877815	5.004675000000001
5.221207	200.274408	5.067804	198.47153799999998	5.0636
5.279182	202.370206	5.125992	200.56733599999998	5.1217880000000005
5.341737	204.555635	5.189320	202.75276499999998	5.185116000000001
5.396892	206.360648	5.244874	204.55777799999998	5.240670000000001
5.452834	208.111720	5.299942	206.30884999999998	5.295738
5.511963	209.808775	5.357999	208.00590499999998	5.353795000000001
5.570479	211.888957	5.416959	210.086087	5.412755000000001
5.629343	213.815006	5.475753	212.012136	5.471549
5.687873	216.180598	5.534346	214.377728	5.530142000000001
5.747547	217.870742	5.593648	216.067872	5.589444
5.807177	220.093290	5.653325	218.29041999999998	5.649121
5.866400	222.216953	5.712887	220.41408299999998	5.708683000000001
5.924475	224.585717	5.771015	222.78284699999998	5.766811000000001
5.982308	227.667591	5.829108	225.86472099999997	5.824904
6.038757	229.630866	5.887998	227.82799599999998	5.883794
6.092224	231.540843	5.940415	229.73797299999998	5.936211
6.150983	232.990486	5.997419	231.187616	5.993215
6.211366	234.142549	6.057393	232.339679	6.053189000000001
6.270799	235.423401	6.117255	233.620531	6.1130510000000005
6.329688	237.635660	6.176135	235.83279	6.171931000000001
6.389554	239.414170	6.235255	237.6113	6.231051000000001
6.449273	240.741126	6.295434	238.938256	6.2912300000000005
6.508386	242.793843	6.354636	240.990973	6.3504320000000005
6.567061	244.506717	6.413721	242.703847	6.409517
6.625485	246.918515	6.471940	245.115645	6.467736
6.684006	249.257669	6.531166	247.45479899999998	6.526962
6.738455	251.108138	6.586423	249.30526799999998	6.582219
6.795510	252.761797	6.642764	250.958927	6.63856
6.853728	254.394122	6.700345	252.591252	6.696141000000001
6.911916	255.572583	6.758644	253.769713	6.754440000000001
6.967407	256.635484	6.816787	254.832614	6.812583
7.022597	258.248555	6.869398	256.445685	6.865194000000001
7.083440	259.990801	6.929496	258.187931	6.925292000000001
7.144015	262.044638	6.989983	260.24176800000004	6.985779
7.202882	263.746482	7.049163	261.94361200000003	7.044959
7.262701	265.683561	7.108857	263.880691	7.104653000000001
7.321631	267.395268	7.168204	265.592398	7.164000000000001
7.379994	269.078570	7.226479	267.27570000000003	7.222275000000001
7.437271	271.334997	7.284161	269.532127	7.2799570000000005
7.494929	274.062878	7.341840	272.260008	7.337636000000001
7.554077	276.538912	7.400664	274.736042	7.39646
7.613193	278.503870	7.459288	276.701	7.455084
7.671336	279.888447	7.518212	278.085577	7.5140080000000005
7.729641	281.146980	7.576181	279.34411	7.571977
7.790125	282.936718	7.636094	281.133848	7.63189
7.849831	285.062735	7.696133	283.259865	7.691929
7.909897	286.030309	7.756242	284.227439	7.752038000000001
7.970126	287.507900	7.816495	285.70503	7.812291
8.028668	288.876877	7.875086	287.074007	7.870882
8.086620	291.142214	7.933386	289.33934400000004	7.929182
8.146271	293.121844	7.992200	291.318974	7.987996000000001
8.206312	294.725055	8.052275	292.922185	8.048071
8.266561	295.603031	8.113057	293.800161	8.108853
8.326127	297.302024	8.172687	295.49915400000003	8.168483
8.386771	299.416615	8.233187	297.613745	8.228983
8.446049	301.462118	8.292174	299.659248	8.28797
8.504964	303.588953	8.351223	301.786083	8.347019
8.565589	304.408052	8.411949	302.605182	8.407745
8.625169	306.450610	8.471283	304.64774	8.467079
8.685133	308.389972	8.532480	306.587102	8.528276
8.736449	311.750116	8.585621	309.947246	8.581417
8.789013	313.643632	8.637545	311.84076200000004	8.633341
8.849435	315.048743	8.695800	313.245873	8.691596
8.907647	316.406755	8.754399	314.603885	8.750195
8.965794	317.715817	8.812539	315.91294700000003	8.808335
9.024570	319.399887	8.871542	317.597017	8.867338
9.082986	320.572525	8.929707	318.769655	8.925503
9.141336	321.670165	8.987916	319.867295	8.983712
9.201050	322.523378	9.048030	320.720508	9.043826000000001
9.259488	324.133017	9.105983	322.330147	9.101779
9.319366	326.554615	9.165782	324.751745	9.161578
9.380086	329.114489	9.226481	327.311619	9.222277
9.439386	330.648704	9.285888	328.845834	9.281684
9.499404	331.978825	9.345801	330.175955	9.341597
9.558941	333.844436	9.405596	332.041566	9.401392
9.619105	335.441857	9.465789	333.63898700000004	9.461585
9.678758	336.745775	9.525142	334.942905	9.520938000000001
9.739538	338.970504	9.585603	337.167634	9.581399000000001
9.802408	340.738326	9.646625	338.935456	9.642421
9.864025	342.404868	9.709838	340.60199800000004	9.705634
9.924080	343.948119	9.770155	342.14524900000004	9.765951000000001
9.983894	345.068512	9.830622	343.265642	9.826418
10.035926	346.604503	9.885277	344.80163300000004	9.881073
10.092576	347.835580	9.938822	346.03271	9.934618
10.154921	349.846924	9.999573	348.044054	9.995369
10.219245	351.485655	10.000000	349.682785	9.995796
