2	header
addCalculation v2.0.3-130-gda034f97	-l exp_depth/nm,exp_load/mN -f #depth/nm#-6.535556,#load/mN#-0.004588 loadDisp_c6r3_250c.txt
depth/nm	load/mN	time/s	exp_depth/nm	exp_load/mN
6.535556	0.004588	60.215110	0.0	0.0
9.334864	0.025307	60.267410	2.799308	0.020719
13.625369	0.043452	60.313214	7.0898129999999995	0.038863999999999996
17.077541	0.064003	60.366088	10.541985	0.059415
20.827498	0.086153	60.422250	14.291941999999999	0.081565
24.228920	0.108081	60.477222	17.693364	0.103493
28.158975	0.132899	60.539412	21.623419000000002	0.12831099999999998
31.621433	0.154884	60.594095	25.085877	0.15029599999999999
34.059219	0.176862	60.649289	27.523663	0.17227399999999998
37.750709	0.199549	60.705862	31.215153	0.194961
41.336042	0.222042	60.761729	34.800486	0.21745399999999998
44.364147	0.243378	60.812954	37.828591	0.23879
47.537117	0.264375	60.867028	41.001561	0.25978700000000005
49.457028	0.286240	60.920356	42.921472	0.281652
53.213634	0.307031	60.974312	46.678078	0.302443
56.467142	0.329233	61.029980	49.931586	0.324645
58.988900	0.351595	61.085628	52.453344	0.347007
62.233066	0.373603	61.139818	55.69751	0.36901500000000004
64.034880	0.394222	61.190260	57.499324	0.38963400000000004
69.078319	0.414803	61.241410	62.542762999999994	0.410215
72.375468	0.436427	61.296784	65.839912	0.43183900000000003
74.299506	0.458513	61.353614	67.76395	0.453925
76.710318	0.480919	61.409333	70.174762	0.476331
79.541757	0.503273	61.465329	73.006201	0.498685
82.839950	0.527728	61.526230	76.304394	0.5231399999999999
86.775084	0.549982	61.582193	80.239528	0.5453939999999999
89.432252	0.572532	61.638459	82.896696	0.567944
92.712531	0.594461	61.693156	86.176975	0.589873
96.233989	0.616783	61.751026	89.698433	0.6121949999999999
98.705633	0.639841	61.807071	92.170077	0.635253
100.310011	0.663217	61.867453	93.774455	0.6586289999999999
101.894799	0.686819	61.925503	95.359243	0.6822309999999999
105.206499	0.709897	61.983929	98.670943	0.705309
108.060061	0.733198	62.041738	101.524505	0.72861
111.072270	0.756598	62.100305	104.536714	0.75201
113.937735	0.779571	62.156517	107.402179	0.774983
116.681353	0.801229	62.207241	110.145797	0.7966409999999999
120.569398	0.821529	62.259346	114.033842	0.8169409999999999
124.912288	0.842430	62.310710	118.376732	0.837842
129.403403	0.863625	62.365071	122.867847	0.8590369999999999
132.657689	0.885311	62.420155	126.122133	0.8807229999999999
134.821080	0.907872	62.477316	128.285524	0.903284
137.553666	0.930701	62.533532	131.01810999999998	0.926113
140.521802	0.952559	62.588278	133.986246	0.947971
143.501303	0.975246	62.644763	136.96574700000002	0.9706579999999999
145.737032	0.997154	62.699228	139.201476	0.992566
148.848900	1.019275	62.755021	142.31334399999997	1.014687
151.903830	1.042442	62.810416	145.36827399999999	1.037854
155.217717	1.063118	62.863975	148.682161	1.05853
158.019163	1.084680	62.916210	151.483607	1.080092
161.580854	1.105357	62.969295	155.045298	1.1007689999999999
165.036117	1.127755	63.026658	158.500561	1.123167
168.940794	1.150766	63.083878	162.405238	1.146178
172.001993	1.173167	63.140380	165.46643699999998	1.168579
175.212310	1.196008	63.197139	168.67675400000002	1.19142
178.244162	1.218348	63.252780	171.70860599999997	1.21376
181.746287	1.240696	63.309995	175.210731	1.236108
185.099168	1.263987	63.367890	178.56361199999998	1.259399
188.383020	1.286669	63.424441	181.847464	1.282081
191.789095	1.309283	63.482039	185.253539	1.304695
194.088868	1.332325	63.537868	187.553312	1.327737
196.628590	1.354791	63.593390	190.093034	1.350203
199.546785	1.375960	63.644757	193.01122900000001	1.371372
201.933064	1.396630	63.697397	195.39750800000002	1.392042
204.624522	1.417943	63.750728	198.08896600000003	1.413355
207.739982	1.439523	63.804503	201.204426	1.434935
