2	header
addCalculation v2.0.2-1634-g370b23d5	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.631930,#load/mN#-0.005049 loadDisp_c3r8_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	2.631930	0.005049	0.0	0.0
0.203809	6.757678	0.053750	0.048701	4.125748
0.256683	12.955997	0.106662	0.10161300000000001	10.324067
0.316411	18.845259	0.165217	0.160168	16.213328999999998
0.375162	27.219429	0.222305	0.217256	24.587499
0.434291	31.888677	0.281091	0.27604199999999995	29.256747
0.494146	37.848240	0.341307	0.336258	35.21631
0.554982	44.420306	0.400818	0.395769	41.788376
0.619974	48.502425	0.468239	0.46319	45.870495000000005
0.675262	55.507885	0.523634	0.5185850000000001	52.875955000000005
0.737977	60.231260	0.586270	0.581221	57.59933
0.794029	64.314339	0.641642	0.6365930000000001	61.68240900000001
0.852401	67.893419	0.699384	0.694335	65.261489
0.910416	71.617043	0.757271	0.7522220000000001	68.985113
0.968697	75.861277	0.815475	0.810426	73.229347
1.027093	79.356666	0.874461	0.8694120000000001	76.72473600000001
1.082566	84.095992	0.930838	0.9257890000000001	81.464062
1.138650	89.085376	0.986076	0.981027	86.453446
1.190968	92.691547	1.040563	1.0355139999999998	90.059617
1.250816	98.988842	1.099188	1.094139	96.35691200000001
1.311704	101.909925	1.157707	1.152658	99.277995
1.365867	105.727046	1.215786	1.210737	103.095116
1.423623	112.180854	1.271617	1.266568	109.548924
1.483323	114.919448	1.330062	1.325013	112.287518
1.543494	119.401925	1.389818	1.384769	116.76999500000001
1.605844	124.296959	1.450311	1.4452619999999998	121.665029
1.664492	127.471372	1.511243	1.5061939999999998	124.839442
1.722415	133.944765	1.569344	1.564295	131.31283499999998
1.780996	139.059052	1.628003	1.622954	136.427122
1.840949	143.166860	1.689897	1.684848	140.53493
1.896257	148.026737	1.743933	1.7388839999999999	145.394807
1.949928	151.850958	1.799640	1.7945909999999998	149.21902799999998
2.007592	156.906537	1.855481	1.8504319999999999	154.27460699999997
2.063044	160.169282	1.913014	1.907965	157.537352
2.115774	164.646432	1.965793	1.9607439999999998	162.014502
2.167157	168.450261	2.017017	2.011968	165.818331
2.218672	170.751579	2.068219	2.06317	168.11964899999998
2.273803	175.105370	2.121692	2.116643	172.47343999999998
2.331594	179.077775	2.179350	2.174301	176.445845
2.388532	182.729201	2.236065	2.231016	180.09727099999998
2.446413	187.482212	2.293736	2.288687	184.850282
2.503551	192.377139	2.350607	2.345558	189.745209
2.562951	196.889745	2.409664	2.4046149999999997	194.257815
2.621457	203.010787	2.468662	2.463613	200.37885699999998
