2	header
addCalculation v2.0.2-1634-g370b23d5	-l exp_depth/nm,exp_load/mN -f #depth/nm#+0.252970,#load/mN#-0.0 loadDisp_c8r1_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
0.000000	-0.252970	0.000000	0.0	0.0
0.136152	-0.014930	0.000001	1e-06	0.23803999999999997
0.187388	1.778095	0.051533	0.051533	2.031065
0.241422	7.040530	0.105591	0.105591	7.293500000000001
0.300266	12.511667	0.162804	0.162804	12.764636999999999
0.357513	18.077966	0.219160	0.21916	18.330936
0.416277	25.551272	0.277531	0.277531	25.804242000000002
0.474550	30.322590	0.335802	0.335802	30.575560000000003
0.533021	33.398916	0.394665	0.394665	33.651886
0.586277	39.094610	0.449278	0.449278	39.34758
0.651439	43.544793	0.513054	0.513054	43.797762999999996
0.707486	48.173952	0.571777	0.571777	48.426922
0.761847	53.364609	0.624201	0.624201	53.617579
0.818185	56.676834	0.679973	0.679973	56.929804
0.875662	61.840802	0.737679	0.737679	62.093771999999994
0.930167	65.963490	0.794467	0.794467	66.21646
0.982094	69.678823	0.845597	0.845597	69.931793
1.036019	72.571663	0.898939	0.898939	72.824633
1.090512	75.785672	0.953350	0.95335	76.03864200000001
1.145552	79.528557	1.008907	1.008907	79.78152700000001
1.197599	83.226594	1.061362	1.061362	83.47956400000001
1.259172	87.441221	1.121729	1.121729	87.694191
1.320877	92.085607	1.179825	1.179825	92.338577
1.379667	95.752725	1.240085	1.240085	96.005695
1.438220	100.190061	1.298893	1.298893	100.443031
1.496922	105.587957	1.357974	1.357974	105.84092700000001
1.555144	109.028472	1.416713	1.416713	109.281442
1.611092	112.655480	1.473465	1.473465	112.90845
1.665791	117.363061	1.528579	1.528579	117.616031
1.728704	121.362673	1.587336	1.587336	121.615643
1.787698	127.960024	1.648945	1.648945	128.212994
1.845833	131.985797	1.707090	1.70709	132.238767
1.904749	134.970072	1.765734	1.765734	135.223042
1.960818	138.706158	1.823863	1.823863	138.959128
2.014944	141.605776	1.877497	1.877497	141.858746
2.071161	144.966024	1.935147	1.935147	145.218994
2.124170	149.409299	1.988348	1.988348	149.662269
2.180492	153.291824	2.041634	2.041634	153.544794
2.240752	158.469965	2.101223	2.101223	158.722935
2.295416	161.637080	2.158436	2.158436	161.89005
2.353295	167.276873	2.213860	2.21386	167.529843
2.412095	171.729838	2.272698	2.272698	171.982808
2.471510	175.689361	2.331744	2.331744	175.942331
2.531485	182.000549	2.391532	2.391532	182.253519
2.589224	184.686849	2.450147	2.450147	184.939819
2.643996	188.417523	2.506712	2.506712	188.670493
2.699046	193.008660	2.560885	2.560885	193.26163
2.757801	196.201057	2.618832	2.618832	196.454027
2.816015	200.214547	2.677342	2.677342	200.46751700000002
